year,position,driver_1,driver_2,constructor
1964,500,Armstrong 500 Mount Panorama,Bathurst 4th October,Armstrong 500 Mount Panorama Bathurst 4th October 1964 Number of Laps: 130 Total Race Time: N/A Fastest lap: Geoghegan/Geoghegan 3:21.3 (110.38 km/h) Classes: Class A - Up to £900; Class B - £901 to £1000; Class C - £1001 to £1200; Class D - £1201 to £2000 Please Note: You can sort this listing by simply clicking on the column heading PLACE DRIVER / CO DRIVER(S) VEHICLE CLASS LAPS 1 Bob Jane / George Reynolds Cortina GT C 130 2 Barry Seton / Herb Taylor Cortina GT C 130 3 Harry Firth / John Reaburn Cortina GT C 129 4 Bert Needham / Warren Weldon Studebaker D 128 5 Ron Hodgson / John French Cortina GT C 127 6 Leo Geoghegan / Ian Geoghegan Cortina GT C 127 7 Bruce McPhee / Barry Mulholland Cortina GT C 126 8 Fred Sutherland / Alan Mottram Studebaker D 126 9 Charlie Smith / Bruce Maher Morris Cooper B 124 10 Bill Buckle / Brian Foley Citroen D 124 11 Bill Burns / Brian Lawler Ford Zephyr D 123 12 Arthur Davis / Paul Mander Triumph 2000 D 123 13 Bob Cook / Alwyn Rose Valiant D 123 14 Don Holland / Laurie Stewart Morris Cooper B 123 15 Barry Thiele / Ray Kaleda Morris Cooper B 121 16 Warren Blomfield / Jerry Trevor-Jones Morris Cooper B 120 17 Bill March / Jim White Renault R8 B 120 18 John Connolly / Rex Emmett Renault R8 B 120 19 Bob Holden / Ken Pascal Renault R8 B 119 20 Bill Barnett / Don Johnston Humber Vogue D 119 21 Bill Gates / Brian Fleming Renault R8 B 119 22 Peter Brown / Ray Gulson Morris Cooper B 118 23 Les Park / John Roxburgh Renault R8 B 117 24 Lex Davison / Rocky Tresise Triumph 2000 D 117 25 Tony Reynolds / Tony Allen Triumph 2000 D 116 26 Jim Bonthorne / John Dando Cortina 1500 B 116 27 Spencer Martin / Bill Brown Vauxhall Viva A 116 28 Brian Muir / Ron Clarke Vauxhall Viva A 115 29 Arnold Ahrenfeld / John Marchiori Vauxhall Viva A 114 30 Mike Martin / John Prisk Morris Cooper B 114 31 Mike Champion / Tony Simmons Vauxhall Viva A 114 32 Jack Gates / Mike Nedelko Vauxhall Viva A 114 33 George Murray / C. McLean Vauxhall Viva A 112 34 Alton Boddenberg / Digby Cooke Simca B 112 35 David Walker / Brian Milton VW 1200 A 112 36 Peter Williamson / Midge Bosworth Hillman Imp A 112 37 Chris McSorley / Phil West Hillman Imp A 110 38 Lionel Ayers / Denis Geary Hillman Imp A 110 39 Bernie Haehnle / Neil McKay VW 1200 A 110 40 Bill Ford / Barry Ferguson VW 1200 A 109 41 Lorraine Hill / Brian Reed Hillman Imp A 108 42 Paul Bolton / John Schroder Hillman Imp A 107 43 Frank Hann / Graham Forrest VW 1200 A 105 44 Max Stewart / Bob Salter Triumph 2000 D 105 45 Matt Daddo / Keith Russell Morris 850 A 104 46 Brian McGrath / David Burton Renault R8 B 103 47 Lyndon McLeod / Lionel Williams Holden Premier D 95 DNF Bob Skelton / Phil Ismay Holden 179 D DNF DNF Bryan Thomson / Bruce Wilson NSU Prinz A DNF DNF Peter Cray / Phil Barnes Morris 850 A DNF DNF Bill Stanley / Steve Harvey Morris 850 A DNF DNF Eric Lane / Stan Pomroy Morris 850 A DNF DNF Lex Bailey / Bill Orr Hillman Imp A DNF DNF Anthony Cooper / Joe Hills Cortina GT C DNF DNF Ian Grant / W. Mitchell Holden 179 C DNF DNF Ralph Sach / Max Brunninghausen Vauxhall Velox D DNF
1964,500,Armstrong 500 Mount Panorama,Bathurst 4th October,Armstrong 500 Mount Panorama Bathurst 4th October 1964
1964,500,Armstrong 500 Mount Panorama,Bathurst 4th October,Number of Laps: 130 Total Race Time: N/A Fastest lap: Geoghegan/Geoghegan 3:21.3 (110.38 km/h) Classes: Class A - Up to £900; Class B - £901 to £1000; Class C - £1001 to £1200; Class D - £1201 to £2000
1965,1,Barry Seton,Midge Bosworth,Ford Cortina GT500
1965,2,Bruce McPhee,Barry Mulholland,Ford Cortina GT500
1965,3,Brian Foley,Peter Manton,Morris Cooper S
1965,4,Lindsay Little,Stan Pomroy,Morris Cooper S
1965,5,Bill McLachlan,Jack Murray,Ford Cortina GT500
1965,6,Paddy Hopkirk,Timo Makinen,Morris Cooper S
1965,7,Bill Stanley,Ralph Sach,Morris Cooper S
1965,8,Ray Kaleda,Graham Moore,Morris Cooper S
1965,9,Bob Holden,Greg Cusack,Morris Cooper S
1965,10,Max Stewart,Bob Young,Triumph 2000
1965,11,Barry Arentz,Geoff Russell,Ford Cortina GT
1965,12,Bill Ford,Des West,Volvo 122S
1965,13,Fred Sutherland,Alan Mottram,Studebaker Lark
1965,14,Harry Firth,John Raeburn,Ford Cortina 220
1965,15,Ray Morris,Bruce Maher,Ford Cortina 220
1965,16,Graham Ward,Barry Collerson,Volvo 122S
1965,17,Max Volkers,Glen Scott,Ford Cortina 240
1965,18,Des Kelly,Brian Reed,Toyota Corona
1965,19,Herb Taylor,John Hall,Ford Cortina 220
1965,20,Bill Buckle,Neil McKay,Toyota Corona
1965,21,Alton Boddenberg,Digby Cooke,Valiant
1965,22,Don Smith,Bruce Stewart,Holden X2
1965,23,Brian Sampson,Ern Abbott,Toyota Corona
1965,24,Barry Ferguson,Charlie Smith,Morris Cooper
1965,25,Bruce Hodgson,Ken Harrison,Cortina 220
1965,26,Gary Shoesmith,Tony Robards,Vauxhall Viva
1965,27,Warren Weldon,Bill Slattery,Studebaker Lark
1965,28,Ron Haylen,Kevin Bartlett,Morris de Luxe
1965,29,John Marchiori,Arnold Ahrenfeld,Ford Cortina 220
1965,30,Arthur Treloar,Colin Bond,Isuzu Bellett
