year,position,driver_1,driver_2,constructor
1979,1000,Hardie-Ferodo 1000 Mount Panorama,Bathurst 30th September,Hardie-Ferodo 1000 Mount Panorama Bathurst 30th September 1979
1979,1000,Hardie-Ferodo 1000 Mount Panorama,Bathurst 30th September,1979 Hardie-Ferodo 1000 Program Number of Laps: 163 Total Race Time: 6:38:15.8 Fastest lap: Peter Brock 2:21.1 (157.47 km/h) Classes: Class A - Over 3000cc; Class B - 2001 to 3000cc; Class C - 1601 to 2000cc; Class D - Up to 1600cc
1980,1,Peter Brock,Jim Richards,Commodore VC
1980,2,Peter Janson,Larry Perkins,Commodore VC
1980,3,Ian Geoghegan,Paul Gulson,Commodore VB
1980,4,Alan Browne,Brian Sampson,Commodore VC
1980,5,Charlie O'Brien,Garth Wigston,Commodore VC
1980,6,Garry Rogers,Fred Geissler,Commodore VC
1980,7,Allan Grice,John Smith,Commodore VC
1980,8,Barry Seton,Don Smith,Ford Capri
1980,9,Ron Wanless,Greg Wright,Commodore VC
1980,10,Wayne Negus,Trevor Hine,Commodore VC
1980,11,Kevin Bartlett,Bob Forbes,Chev Camaro
1980,12,Graeme Bailey,Doug Clark,Toyota Celica
1980,13,Steve Masterton,Colin Bond,Ford Capri
1980,14,Graham Mein,Geoff Russell,Escort RS2000
1980,15,Terry Finnigan,Peter Dane,Isuzu Gemini
1980,16,Ian Burrell,Rob Shute,Mitsubishi Lancer
1980,17,Peter Hopwood,Terry Daly,Ford Capri
1980,18,Ron Dickson,Bob Stevens,Chev Camaro
1980,19,Ray Cutchie,Ray Farrar,Escort RS2000
1980,20,Bob Holden,David Earle,Escort 1.6GL
1980,21,Warwick Henderson,Graham Harrison,Alfetta GTV2000
1980,22,Neville Bridges,Sue Ransom,Commodore VB
1980,23,Ray Gulson,Paul Jones,Alfasud Ti1.5
1980,24,Terry Wade,Brian Reed,Dolomite Sprint
1980,25,Bernie McClure,David Langman,Holden Gemini
1980,26,John Faulkner,Gary Dumbrell,Escort RS2000
1980,27,Alan Taylor,Kevin Kennedy,Commodore VB
1980,28,John Gates,Alexandra Surplice,Toyota Corolla
1980,29,Ken Harrison,Ian Wells,Escort 1.6GL
1980,30,Lawrie Nelson,Tony Farrell,Ford Capri
1980,31,Tony Mulvihill,Brian Nightingale,Escort RS2000
1980,32,Bruce Stewart,Cam Worner,Ford Capri
1980,33,Ken Price,Steve Jonas,Isuzu Gemini
1980,34,Allan Gough,Col Spencer,Isuzu Gemini
1980,1000,Hardie-Ferodo 1000 Mount Panorama,Bathurst 5th October,Hardie-Ferodo 1000 Mount Panorama Bathurst 5th October 1980 1980 Hardie-Ferodo 1000 Program Number of Laps: 163 Total Race Time: 6:47:52.7 Fastest lap: Dick Johnson 2:22.2 (156.25 km/h) Classes: Class A - Over 3000cc; Class B - 2001 to 3000cc; Class C - 1601 to 2000cc; Class D - Up to 1600cc Please Note: You can sort this listing by simply clicking on the column heading PLACE DRIVER / CO DRIVER(S) VEHICLE CLASS LAPS QUALIFYING 1 Peter Brock / Jim Richards Commodore VC A 163 0:2:21.815 2 Peter Janson / Larry Perkins Commodore VC A 162 0:2:25.505 3 Ian Geoghegan / Paul Gulson Commodore VB A 159 0:2:28.900 4 Alan Browne / Brian Sampson Commodore VC A 158 0:2:29.900 5 Charlie O'Brien / Garth Wigston Commodore VC A 157 0:2:24.380 6 Garry Rogers / Fred Geissler Commodore VC A 157 0:2:27.452 7 Allan Grice / John Smith Commodore VC A 156 0:2:23.650 8 Barry Seton / Don Smith Ford Capri B 156 0:2:32.400 9 Ron Wanless / Greg Wright Commodore VC A 154 0:2:33.800 10 Wayne Negus / Trevor Hine Commodore VC A 153 0:2:31.100 11 Kevin Bartlett / Bob Forbes Chev Camaro A 152 0:2:20.972 12 Graeme Bailey / Doug Clark Toyota Celica C 148 0:2:37.600 13 Steve Masterton / Colin Bond Ford Capri B 147 0:2:31.000 14 Graham Mein / Geoff Russell Escort RS2000 C 142 0:2:51.000 15 Terry Finnigan / Peter Dane Isuzu Gemini D 140 0:2:53.500 16 Ian Burrell / Rob Shute Mitsubishi Lancer D 139 0:2:53.300 17 Peter Hopwood / Terry Daly Ford Capri B 138 0:2:33.300 18 Ron Dickson / Bob Stevens Chev Camaro A 138 0:2:28.800 19 Ray Cutchie / Ray Farrar Escort RS2000 C 135 0:2:41.100 20 Bob Holden / David Earle Escort 1.6GL D 135 0:2:59.100 21 Warwick Henderson / Graham Harrison Alfetta GTV2000 C 135 0:2:52.800 22 Neville Bridges / Sue Ransom Commodore VB A 134 0:2:49.500 23 Ray Gulson / Paul Jones Alfasud Ti1.5 D 134 0:3:01.500 24 Terry Wade / Brian Reed Dolomite Sprint C 131 0:2:45.700 25 Bernie McClure / David Langman Holden Gemini D 130 0:3:00.700 26 John Faulkner / Gary Dumbrell Escort RS2000 C 129 0:2:45.100 27 Alan Taylor / Kevin Kennedy Commodore VB B 128 0:2:56.900 28 John Gates / Alexandra Surplice Toyota Corolla D 127 not available 29 Ken Harrison / Ian Wells Escort 1.6GL D 126 0:3:02.800 30 Lawrie Nelson / Tony Farrell Ford Capri B 121 0:2:36.500 31 Tony Mulvihill / Brian Nightingale Escort RS2000 C 120 0:3:16.800 32 Bruce Stewart / Cam Worner Ford Capri B 120 0:2:36.400 33 Ken Price / Steve Jonas Isuzu Gemini D 116 0:2:57.200 34 Allan Gough / Col Spencer Isuzu Gemini D 111 0:2:51.800 DNF Gary Cooke / Warwick Brown Commodore VB A DNF 0:2:21.815 DNF Peter Williamson / Mike Quinn Toyota Celica C DNF not available DNF Gerald Kay / Martin Power Dolomite Sprint C DNF not available DNF Roger Cartwright / Rod Stevens Escort RS2000 C DNF not available DNF Jim Faneco / Peter Boston Isuzu Gemini D DNF not available DNF Murray Carter / Graeme Lawrence Falcon XD A DNF not available DNF Barry Jones / Geoff Leeds Mazda RX7 B DNF not available DNF Dick Barbour / Sam Posey Chev Camaro A DNF not available DNF Bob Morris / Allan Moffat Bill O'Brien Falcon XD A DNF not available DNF John Harvey / Ron Harrop Commodore VC A DNF not available DNF Peter McLeod / Mal Brewster Mazda RX7 B DNF not available DNF Chris Heyer / Peter Lander VW Golf D DNF not available DNF Joe Moore / Fred Gibson Falcon XD A DNF not available DNF Stephen Brook / Wally Storey Escort RS2000 C DNF not available DNF Jim Keogh / Ross Mathiesen Falcon XD A DNF not available DNF Garry Willmington / Rod Donovan Falcon XD A DNF not available DNF Phil Lyon / Bill Stanley Commodore VB A DNF not available DNF Allan Bryant / Terry Shiel Mazda RX7 B DNF not available DNF Gary Leggatt / David Seldon Isuzu Gemini C DNF not available DNF Dick Johnson / John French Falcon XD A DNF not available DNF Phil McDonell / Derek Bell Alfetta GTV2000 C DNF not available DNF John Goss / Ron Gillard Jaguar XJ-S A DNF not available DNF Gary Rowe / Geoff Wade Isuzu Gemini D DNF not available DNF Bob Muir / Kingsley Hibbard Falcon XD A DNF not available DNF Allan Moffat / John Fitzpatrick Falcon XD A DNF not available DNF Wally Scott / Peter Walton Toyota Celica C DNF not available
1980,1000,Hardie-Ferodo 1000 Mount Panorama,Bathurst 5th October,Hardie-Ferodo 1000 Mount Panorama Bathurst 5th October 1980 1980 Hardie-Ferodo 1000 Program Number of Laps: 163 Total Race Time: 6:47:52.7 Fastest lap: Dick Johnson 2:22.2 (156.25 km/h) Classes: Class A - Over 3000cc; Class B - 2001 to 3000cc; Class C - 1601 to 2000cc; Class D - Up to 1600cc Please Note: You can sort this listing by simply clicking on the column heading PLACE DRIVER / CO DRIVER(S) VEHICLE CLASS LAPS QUALIFYING 1 Peter Brock / Jim Richards Commodore VC A 163 0:2:21.815 2 Peter Janson / Larry Perkins Commodore VC A 162 0:2:25.505 3 Ian Geoghegan / Paul Gulson Commodore VB A 159 0:2:28.900 4 Alan Browne / Brian Sampson Commodore VC A 158 0:2:29.900 5 Charlie O'Brien / Garth Wigston Commodore VC A 157 0:2:24.380 6 Garry Rogers / Fred Geissler Commodore VC A 157 0:2:27.452 7 Allan Grice / John Smith Commodore VC A 156 0:2:23.650 8 Barry Seton / Don Smith Ford Capri B 156 0:2:32.400 9 Ron Wanless / Greg Wright Commodore VC A 154 0:2:33.800 10 Wayne Negus / Trevor Hine Commodore VC A 153 0:2:31.100 11 Kevin Bartlett / Bob Forbes Chev Camaro A 152 0:2:20.972 12 Graeme Bailey / Doug Clark Toyota Celica C 148 0:2:37.600 13 Steve Masterton / Colin Bond Ford Capri B 147 0:2:31.000 14 Graham Mein / Geoff Russell Escort RS2000 C 142 0:2:51.000 15 Terry Finnigan / Peter Dane Isuzu Gemini D 140 0:2:53.500 16 Ian Burrell / Rob Shute Mitsubishi Lancer D 139 0:2:53.300 17 Peter Hopwood / Terry Daly Ford Capri B 138 0:2:33.300 18 Ron Dickson / Bob Stevens Chev Camaro A 138 0:2:28.800 19 Ray Cutchie / Ray Farrar Escort RS2000 C 135 0:2:41.100 20 Bob Holden / David Earle Escort 1.6GL D 135 0:2:59.100 21 Warwick Henderson / Graham Harrison Alfetta GTV2000 C 135 0:2:52.800 22 Neville Bridges / Sue Ransom Commodore VB A 134 0:2:49.500 23 Ray Gulson / Paul Jones Alfasud Ti1.5 D 134 0:3:01.500 24 Terry Wade / Brian Reed Dolomite Sprint C 131 0:2:45.700 25 Bernie McClure / David Langman Holden Gemini D 130 0:3:00.700 26 John Faulkner / Gary Dumbrell Escort RS2000 C 129 0:2:45.100 27 Alan Taylor / Kevin Kennedy Commodore VB B 128 0:2:56.900 28 John Gates / Alexandra Surplice Toyota Corolla D 127 not available 29 Ken Harrison / Ian Wells Escort 1.6GL D 126 0:3:02.800 30 Lawrie Nelson / Tony Farrell Ford Capri B 121 0:2:36.500 31 Tony Mulvihill / Brian Nightingale Escort RS2000 C 120 0:3:16.800 32 Bruce Stewart / Cam Worner Ford Capri B 120 0:2:36.400 33 Ken Price / Steve Jonas Isuzu Gemini D 116 0:2:57.200 34 Allan Gough / Col Spencer Isuzu Gemini D 111 0:2:51.800 DNF Gary Cooke / Warwick Brown Commodore VB A DNF 0:2:21.815 DNF Peter Williamson / Mike Quinn Toyota Celica C DNF not available DNF Gerald Kay / Martin Power Dolomite Sprint C DNF not available DNF Roger Cartwright / Rod Stevens Escort RS2000 C DNF not available DNF Jim Faneco / Peter Boston Isuzu Gemini D DNF not available DNF Murray Carter / Graeme Lawrence Falcon XD A DNF not available DNF Barry Jones / Geoff Leeds Mazda RX7 B DNF not available DNF Dick Barbour / Sam Posey Chev Camaro A DNF not available DNF Bob Morris / Allan Moffat Bill O'Brien Falcon XD A DNF not available DNF John Harvey / Ron Harrop Commodore VC A DNF not available DNF Peter McLeod / Mal Brewster Mazda RX7 B DNF not available DNF Chris Heyer / Peter Lander VW Golf D DNF not available DNF Joe Moore / Fred Gibson Falcon XD A DNF not available DNF Stephen Brook / Wally Storey Escort RS2000 C DNF not available DNF Jim Keogh / Ross Mathiesen Falcon XD A DNF not available DNF Garry Willmington / Rod Donovan Falcon XD A DNF not available DNF Phil Lyon / Bill Stanley Commodore VB A DNF not available DNF Allan Bryant / Terry Shiel Mazda RX7 B DNF not available DNF Gary Leggatt / David Seldon Isuzu Gemini C DNF not available DNF Dick Johnson / John French Falcon XD A DNF not available DNF Phil McDonell / Derek Bell Alfetta GTV2000 C DNF not available DNF John Goss / Ron Gillard Jaguar XJ-S A DNF not available DNF Gary Rowe / Geoff Wade Isuzu Gemini D DNF not available DNF Bob Muir / Kingsley Hibbard Falcon XD A DNF not available DNF Allan Moffat / John Fitzpatrick Falcon XD A DNF not available DNF Wally Scott / Peter Walton Toyota Celica C DNF not available
1980,1000,Hardie-Ferodo 1000 Mount Panorama,Bathurst 5th October,Hardie-Ferodo 1000 Mount Panorama Bathurst 5th October 1980
1980,1000,Hardie-Ferodo 1000 Mount Panorama,Bathurst 5th October,1980 Hardie-Ferodo 1000 Program Number of Laps: 163 Total Race Time: 6:47:52.7 Fastest lap: Dick Johnson 2:22.2 (156.25 km/h) Classes: Class A - Over 3000cc; Class B - 2001 to 3000cc; Class C - 1601 to 2000cc; Class D - Up to 1600cc
1981,1,Dick Johnson,John French,Falcon XD
1981,2,Bob Morris,John Fitzpatrick,Falcon XD
1981,3,Allan Moffat,Derek Bell,Mazda RX7
1981,4,Garry Rogers,Clive Benson-Brown,Commodore VC
1981,5,Alan Browne,Tony Edmondson,Commodore VC
1981,6,Joe Moore,Christine Gibson,Falcon XD
1981,7,Allan Grice,David Hobbs,BMW 635CSi
1981,8,Colin Bond,Don Smith,Ford Capri
1981,9,Garry Willmington,Mike Griffin,Falcon XD
1981,10,John English,John Donnelly,Falcon XD
1981,11,Steve Masterton,Bruce Stewart,Ford Capri
1981,12,Peter Williamson,John Smith,Toyota Celica
1981,13,Kevin Bartlett,Bob Forbes,Chev Camaro
1981,14,Brian Callaghan,Peter McKay,Falcon XD
1981,15,Alan Taylor,Kevin Kennedy,Commodore VC
1981,16,Ron Dickson,Bob Stevens,Chev Camaro
1981,17,Lawrie Nelson,Peter Jones,Ford Capri
1981,18,John Gates,John Craft,Ford Capri
1981,19,Gary Leggatt,Phil McDonell,Alfetta GTV
1981,20,James Faneco,Allan Gough,Isuzu Gemini
1981,21,Peter Brock,Jim Richards,Commodore VC
1981,22,Rusty French,Leo Leonard,Falcon XD
1981,23,Rod Stevens,Craig Bradtke,Mitsubishi Lancer
1981,24,Tony Mulvihill,Brian Nightingale,Escort RS2000
1981,25,Graham Moore,Steve Dymand,Chev Camaro
1981,26,Peter McLeod,Peter Dane,Mazda RX7
1981,27,Phil Revell,Ron Barnacle,Escort 1.6
1981,28,Bob Muir,Ian Geoghegan,Falcon XD
1981,1000,James Hardie 1000 Mount Panorama,Bathurst 4th October,James Hardie 1000 Mount Panorama Bathurst 4th October 1981 1981 Hardie-Ferodo 1000 Program Number of Laps: 120 Total Race Time: 4:53:52.7 Fastest lap: Dick Johnson 2:20.98 (157.61 km/h) Classes: Class A - 8 or more Cylinders; Class B - 6 Cylinders & Rotaries; Class C - 4 or 5 Cylinders Please Note: You can sort this listing by simply clicking on the column heading PLACE DRIVER / CO DRIVER(S) VEHICLE CLASS LAPS QUALIFYING 1 Dick Johnson / John French Falcon XD A 120 0:2:38.813 2 Bob Morris / John Fitzpatrick Falcon XD A 120 0:2:39.339 3 Allan Moffat / Derek Bell Mazda RX7 B 119 0:2:39.443 4 Garry Rogers / Clive Benson-Brown Commodore VC A 118 0:2:41.315 5 Alan Browne / Tony Edmondson Commodore VC A 117 0:2:25.100 6 Joe Moore / Christine Gibson Falcon XD A 115 0:2:29.900 7 Allan Grice / David Hobbs BMW 635CSi B 113 0:2:26.200 8 Colin Bond / Don Smith Ford Capri B 113 0:2:33.000 9 Garry Willmington / Mike Griffin Falcon XD A 113 0:2:27.300 10 John English / John Donnelly Falcon XD A 112 0:2:29.000 11 Steve Masterton / Bruce Stewart Ford Capri B 111 0:2:33.700 12 Peter Williamson / John Smith Toyota Celica C 111 0:2:34.900 13 Kevin Bartlett / Bob Forbes Chev Camaro A 111 0:2:36.432 14 Brian Callaghan / Peter McKay Falcon XD A 111 0:2:29.400 15 Alan Taylor / Kevin Kennedy Commodore VC A 109 0:2:32.200 16 Ron Dickson / Bob Stevens Chev Camaro A 108 0:2:44.505 17 Lawrie Nelson / Peter Jones Ford Capri B 108 0:2:36.600 18 John Gates / John Craft Ford Capri B 108 0:2:35.700 19 Gary Leggatt / Phil McDonell Alfetta GTV C 107 0:2:42.100 20 James Faneco / Allan Gough Isuzu Gemini C 103 0:2:47.900 21 Peter Brock / Jim Richards Commodore VC A 103 0:2:39.430 22 Rusty French / Leo Leonard Falcon XD A 100 0:2:32.400 23 Rod Stevens / Craig Bradtke Mitsubishi Lancer C 100 0:2:49.300 24 Tony Mulvihill / Brian Nightingale Escort RS2000 C 97 0:2:52.100 25 Graham Moore / Steve Dymand Chev Camaro A 96 0:2:30.700 26 Peter McLeod / Peter Dane Mazda RX7 B 96 0:2:33.200 27 Phil Revell / Ron Barnacle Escort 1.6 C 93 0:2:55.700 28 Bob Muir / Ian Geoghegan Falcon XD A 92 0:2:26.400 DNF Murray Carter / Graeme Lawrence Falcon XD A DNF 0:2:38.813 DNF Alexandra Surplice / Doug Clark Toyota Celica C DNF not available DNF Fred Geissler / Graham Watson Commodore VC A DNF not available DNF Ian Burrell / Rob Shute Mitsubishi Colt C DNF not available DNF Martin Power / Brian Wilsall Dolomite Sprint C DNF not available DNF Ron Wanless / Ralph Radburn Commodore VC A DNF not available DNF Colin Spencer / John White Isuzu Gemini C DNF not available DNF Bill O'Brien / Gary Cooke Falcon XD A DNF not available DNF Barry Jones / Geoff Leeds Mazda RX7 B DNF not available DNF Ray Cutchie / Ray Farrar Escort 1.6 C DNF not available DNF John Goss / Barry Seton Jaguar XJ-S A DNF not available DNF John Faulkner / Gary Dumbrell Escort 2.0GL C DNF not available DNF David Seldon / Gary Rowe Isuzu Gemini C DNF not available DNF Peter Janson / Larry Perkins Commodore VC A DNF not available DNF Masahiro Hasemi / Kazuyoshi Hoshino Nissan Bluebird C DNF not available DNF Terry Daly / Peter Hopwood Ford Capri B DNF not available DNF Allan Bryant / Dean Gall Mazda RX7 B DNF not available DNF Garth Wigston / Steve Harrington Commodore VC A DNF not available DNF Wally Scott / Peter Walton Toyota Celica C DNF not available DNF Warren Cullen / Alan Jones Commodore VC A DNF not available DNF Phil Alexander / Ron Gillard Mazda RX7 B DNF not available DNF Bob Holden / Wally Storey Escort 2.0GL C DNF not available DNF Paul Gulson / Rodney Combs Commodore VB A DNF not available DNF John Harvey / Vern Schuppan Commodore VC A DNF not available DNF Phil Brock / Gary Scott Isuzu Gemini C DNF not available DNF Graeme Bailey / Steve Land Toyota Celica C DNF not available DNF Graham Mein / Geoff Russell Escort RS2000 C DNF not available DNF Fred Gibson / George Fury Nissan Bluebird C DNF not available DNF Terry Finnigan / Ross Wittig Isuzu Gemini C DNF not available DNF Charlie O'Brien / Mike Quinn Commodore VC A DNF not available DNF Terry Shiel / Don Holland Mazda RX7 B DNF not available DNF John Duggan / Michael O'Hehir Mazda RX B DNF not available
1981,1000,James Hardie 1000 Mount Panorama,Bathurst 4th October,James Hardie 1000 Mount Panorama Bathurst 4th October 1981 1981 Hardie-Ferodo 1000 Program Number of Laps: 120 Total Race Time: 4:53:52.7 Fastest lap: Dick Johnson 2:20.98 (157.61 km/h) Classes: Class A - 8 or more Cylinders; Class B - 6 Cylinders & Rotaries; Class C - 4 or 5 Cylinders Please Note: You can sort this listing by simply clicking on the column heading PLACE DRIVER / CO DRIVER(S) VEHICLE CLASS LAPS QUALIFYING 1 Dick Johnson / John French Falcon XD A 120 0:2:38.813 2 Bob Morris / John Fitzpatrick Falcon XD A 120 0:2:39.339 3 Allan Moffat / Derek Bell Mazda RX7 B 119 0:2:39.443 4 Garry Rogers / Clive Benson-Brown Commodore VC A 118 0:2:41.315 5 Alan Browne / Tony Edmondson Commodore VC A 117 0:2:25.100 6 Joe Moore / Christine Gibson Falcon XD A 115 0:2:29.900 7 Allan Grice / David Hobbs BMW 635CSi B 113 0:2:26.200 8 Colin Bond / Don Smith Ford Capri B 113 0:2:33.000 9 Garry Willmington / Mike Griffin Falcon XD A 113 0:2:27.300 10 John English / John Donnelly Falcon XD A 112 0:2:29.000 11 Steve Masterton / Bruce Stewart Ford Capri B 111 0:2:33.700 12 Peter Williamson / John Smith Toyota Celica C 111 0:2:34.900 13 Kevin Bartlett / Bob Forbes Chev Camaro A 111 0:2:36.432 14 Brian Callaghan / Peter McKay Falcon XD A 111 0:2:29.400 15 Alan Taylor / Kevin Kennedy Commodore VC A 109 0:2:32.200 16 Ron Dickson / Bob Stevens Chev Camaro A 108 0:2:44.505 17 Lawrie Nelson / Peter Jones Ford Capri B 108 0:2:36.600 18 John Gates / John Craft Ford Capri B 108 0:2:35.700 19 Gary Leggatt / Phil McDonell Alfetta GTV C 107 0:2:42.100 20 James Faneco / Allan Gough Isuzu Gemini C 103 0:2:47.900 21 Peter Brock / Jim Richards Commodore VC A 103 0:2:39.430 22 Rusty French / Leo Leonard Falcon XD A 100 0:2:32.400 23 Rod Stevens / Craig Bradtke Mitsubishi Lancer C 100 0:2:49.300 24 Tony Mulvihill / Brian Nightingale Escort RS2000 C 97 0:2:52.100 25 Graham Moore / Steve Dymand Chev Camaro A 96 0:2:30.700 26 Peter McLeod / Peter Dane Mazda RX7 B 96 0:2:33.200 27 Phil Revell / Ron Barnacle Escort 1.6 C 93 0:2:55.700 28 Bob Muir / Ian Geoghegan Falcon XD A 92 0:2:26.400 DNF Murray Carter / Graeme Lawrence Falcon XD A DNF 0:2:38.813 DNF Alexandra Surplice / Doug Clark Toyota Celica C DNF not available DNF Fred Geissler / Graham Watson Commodore VC A DNF not available DNF Ian Burrell / Rob Shute Mitsubishi Colt C DNF not available DNF Martin Power / Brian Wilsall Dolomite Sprint C DNF not available DNF Ron Wanless / Ralph Radburn Commodore VC A DNF not available DNF Colin Spencer / John White Isuzu Gemini C DNF not available DNF Bill O'Brien / Gary Cooke Falcon XD A DNF not available DNF Barry Jones / Geoff Leeds Mazda RX7 B DNF not available DNF Ray Cutchie / Ray Farrar Escort 1.6 C DNF not available DNF John Goss / Barry Seton Jaguar XJ-S A DNF not available DNF John Faulkner / Gary Dumbrell Escort 2.0GL C DNF not available DNF David Seldon / Gary Rowe Isuzu Gemini C DNF not available DNF Peter Janson / Larry Perkins Commodore VC A DNF not available DNF Masahiro Hasemi / Kazuyoshi Hoshino Nissan Bluebird C DNF not available DNF Terry Daly / Peter Hopwood Ford Capri B DNF not available DNF Allan Bryant / Dean Gall Mazda RX7 B DNF not available DNF Garth Wigston / Steve Harrington Commodore VC A DNF not available DNF Wally Scott / Peter Walton Toyota Celica C DNF not available DNF Warren Cullen / Alan Jones Commodore VC A DNF not available DNF Phil Alexander / Ron Gillard Mazda RX7 B DNF not available DNF Bob Holden / Wally Storey Escort 2.0GL C DNF not available DNF Paul Gulson / Rodney Combs Commodore VB A DNF not available DNF John Harvey / Vern Schuppan Commodore VC A DNF not available DNF Phil Brock / Gary Scott Isuzu Gemini C DNF not available DNF Graeme Bailey / Steve Land Toyota Celica C DNF not available DNF Graham Mein / Geoff Russell Escort RS2000 C DNF not available DNF Fred Gibson / George Fury Nissan Bluebird C DNF not available DNF Terry Finnigan / Ross Wittig Isuzu Gemini C DNF not available DNF Charlie O'Brien / Mike Quinn Commodore VC A DNF not available DNF Terry Shiel / Don Holland Mazda RX7 B DNF not available DNF John Duggan / Michael O'Hehir Mazda RX B DNF not available
1981,1000,James Hardie 1000 Mount Panorama,Bathurst 4th October,James Hardie 1000 Mount Panorama Bathurst 4th October 1981
1981,1000,James Hardie 1000 Mount Panorama,Bathurst 4th October,1981 Hardie-Ferodo 1000 Program Number of Laps: 120 Total Race Time: 4:53:52.7 Fastest lap: Dick Johnson 2:20.98 (157.61 km/h) Classes: Class A - 8 or more Cylinders; Class B - 6 Cylinders & Rotaries; Class C - 4 or 5 Cylinders
1982,1,Peter Brock,Larry Perkins,Commodore VH
1982,2,Allan Grice,Alan Browne,Commodore VH
1982,3,John Harvey,Gary Scott,Commodore VH
1982,4,Peter Janson,David Parsons,Commodore VH
1982,5,Jim Richards,David Hobbs,BMW 635CSi
1982,6,Allan Moffat,Yoshimi Katayama,Mazda RX7
1982,7,Steve Masterton,Bruce Stewart,Falcon XE
1982,8,Masahiro Hasemi,Kazuyoshi Hoshino,Nissan Bluebird
1982,9,Peter McLeod,Peter Dane,Mazda RX7
1982,10,Phil Alexander,Ron Gillard,Mazda RX7
1982,11,Ron Dickson,Bob Stevens,Chev Camaro
1982,12,Barry Seton,Don Smith,Ford Capri
1982,13,Tony Kavich,Phil Ward,Mazda RX7
1982,14,Les Grose,Alan Cant,Ford Capri
1982,15,Bob Holden,Neville Bridges,Escort 2.0GL
1982,16,Chris Heyer,Peter Lander,Audi 5+5
1982,17,Wally Scott,Peter Walton,Toyota Celica
1982,18,Paul Jones,Bob Skelton,Mazda RX7
1982,19,Ray Gulson,Bruce Lynton,Alfa GTV6
1982,20,Bill O'Brien,Brian Sampson,Falcon XD
1982,21,Geoff Leeds,Peter Fitzgerald,Chev Camaro
1982,22,Greg Toepfer,Ken Mathews,Commodore VH
