Date,Race,Track,Winner,Margin,SP,Race Grade,Jockey,Trainer
4/5/2002,STC Lord Mayor's Cup,Rosehill,Grampians,0.4,$3.30F,LR,Darren Beadman,John Hawkes
4/5/2002,John Hawkes Stakes,Morphettville,Libidinious,DH,$3.80F,G3,Andrew Findlay,Alan Bailey
4/5/2002,SAJC Chairman's Stakes,Morphettville,Silver Baron,0.4,$8 ,LR,Corey Brown,John Hawkes
4/5/2002,A.D. Hollindale Stakes,Eagle Farm,Mr. Bureaucrat,0.4,$7 ,G2,Adrian Robinson,Warwick Hailes
4/5/2002,BRC Members Handicap,Eagle Farm,Raw Instinct,0.4,$6 ,LR,Glyn Schofield,Bruce McLachlan
4/5/2002,Queensland Guineas,Eagle Farm,Regent Street,0.1,$21 ,G2,Steven King,Gerald Ryan
4/5/2002,Victory Stakes,Eagle Farm,Mr. Bureaucrat,0.4,$7 ,G2,Adrian Robinson,Warwick Hailes
6/5/2002,BRC Lord Mayor's Cup,Doomben,Freemason,1.3,$2F,G3,Scott Galloway,John Hawkes
6/5/2002,Spirit Of Boom Classic,Doomben,Lovely Jubly,0.1,$4 ,G3,Brett Prebble,David Throsby
8/5/2002,Gosford Gold Cup,Gosford,Viva La Vie,0.4,$6.50 ,G3,Mark De Montfort,Joseph Pride
8/5/2002,Doomben 10,,,,,,,
11/5/2002,Lord Reims Stakes,Morphettville,Firetaine,0.1,$21 ,G3,Brian Park,Stuart Webb
11/5/2002,Queen Of The South Stakes,Morphettville,Sylvaner,0.2,$9 ,G2,Brett Prebble,Barry James
11/5/2002,SA Stakes,Morphettville,Blur,1.6,$1.80F,G3,Damien Oliver,Colin Little
11/5/2002,South Australian Derby,Morphettville,Pantani,0.1,$31 ,G1,Danny Nikolic,Robbie Laing
11/5/2002,Tobin Bronze Stakes,Morphettville,Troubles,0.6,$4.50 ,G2,Brian Park,Robert Smerdon
11/5/2002,GCTC Australian Turf Club Trophy,Gold Coast,Prized Gem,1,$11 ,G2,Michael Rodd,Murray Baker
11/5/2002,Ken Russell Memorial Classic,Gold Coast,Tequila Knowledge,0.5,$6 ,LR,Brian York,Michael Moroney
11/5/2002,Taj Rossi Series Final,Flemington,Fuji Dancer,1.5,$10 ,LR,Vlad Duric,David Racovolis
11/5/2002,The Straight Six,Flemington,Princesa,0.8,$4 ,LR,Vlad Duric,Greg Eurell
12/5/2002,Cascade Classic,Hobart,Goodnik,0.2,$6 ,LR,Phil Michaelides,Charlie Goggin
12/5/2002,Dr John Power Handicap,Eagle Farm,Fouardee,0.4,$12 ,LR,Chris Munce,Jim Lee
12/5/2002,Grand Prix Stakes,Eagle Farm,Distinctly Secret,1.3,$12 ,G2,Brian York,Mark Walker
12/5/2002,QTC Metropolitan Handicap,Eagle Farm,Kreisler Mirage,0.1,$3.20F,LR,Steven King,Graeme Rogerson
17/5/2002,Dark Jewel Classic,Scone,Hot Riff,1,$3.80F,LR,Darren Beadman,John Hawkes
18/5/2002,Stayers Cup,Rosehill,We're Dancing,0.2,$3.20F,LR,Chris Munce,Gai Waterhouse
18/5/2002,Clare Lindop Stakes,Morphettville,Russian Caravan,0.5,$5 ,LR,Kerrin McEvoy,Tony McEvoy
18/5/2002,SAJC Fillies Classic,Morphettville,She's Archie,0.1,$6.50 ,G1,Peter Mertens,Darren Weir
18/5/2002,SAJC Sires' Produce Stakes,Morphettville,Lashed,2.4,$3F,G3,Stephen Baster,Graeme Rogerson
18/5/2002,The Goodwood,Morphettville,Zip Zip Aray,0.8,$13 ,G1,Brian Park,David Jolly
18/5/2002,BRC Chairman's Handicap,Doomben,Society Beau,0.5,$4.60F,G3,Damien Oliver,Mark Walker
18/5/2002,Doomben Roses,Doomben,Palidamah,1,$15 ,LR,Jason Taylor,Noel Doyle
18/5/2002,Gunsynd Classic,Doomben,Galroof,1.3,$5 ,G3,Stathi Katsidis,Michael Moroney
18/5/2002,H.G. Bolton Sprint,Belmont,Cool Business,0.75,$9 ,LR,Jason Brown,Jim Taylor
20/5/2002,Adelaide Cup,Morphettville,The A Train,0.2,$21 ,G1,Stephen Baster,Cliff Brown
20/5/2002,Centaurea Stakes,Morphettville,Tyrolean,5.3,$3.80F,LR,Danny Nikolic,Bart Cummings
20/5/2002,David Coles AM Stakes,Morphettville,Rohatyn,0.5,$4.20 ,G3,Noel Callow,Robbie Laing
20/5/2002,Manihi Classic,Morphettville,Calming,0.5,$15 ,LR,Brett Prebble,Bill Mitchell
20/5/2002,The Cummings Stakes,Morphettville,Sylvaner,0.2,$4.50 ,LR,Brett Prebble,Barry James
25/5/2002,SAJC St Leger,Victoria Park,Bellonic,2,$3F,LR,Nash Rawiller,Tony Noonan
25/5/2002,BRC Sprint,Doomben,Carael Boy,0.1,$5F,G3,Brad Pengelly,Bob Milligan
25/5/2002,Doomben Cup,Doomben,Mr. Bureaucrat,0.5,$7 ,G1,Adrian Robinson,Warwick Hailes
25/5/2002,Rough Habit Plate,Doomben,Distinctly Secret,0.1,$4.60 ,LR,Damien Oliver,Mark Walker
25/5/2002,Show A Heart,Doomben,Chickens,0.2,$5 ,LR,Brian York,Gai Waterhouse
25/5/2002,Ngawyni Stakes,Belmont,Paris Moon,0.75,$4.25 ,LR,Stephen Miller,Michael Pateman
1/6/2002,W.J. McKell Cup,Rosehill,We're Dancing,0.2,$3.10F,LR,Chris Munce,Gai Waterhouse
1/6/2002,BRC Sires' Produce Stakes,Eagle Farm,Lovely Jubly,1.8,$3F,G1,Brett Prebble,David Throsby
1/6/2002,Moreton Cup,Eagle Farm,Pembleton,0.1,$8.50 ,G2,Brian York,John Morrisey
1/6/2002,Queensland Oaks,Eagle Farm,Mon Mekki,1,$51 ,G1,Paul Hammersley,Gerald Ryan
1/6/2002,Spear Chief Handicap,Eagle Farm,Lord Denning,0.1,$21 ,LR,Corey Brown,Albert Stapleford
1/6/2002,The Q22,Eagle Farm,Hey Pronto,0.1,$5 ,G2,Brian York,Gai Waterhouse
1/6/2002,Roma Cup,Belmont,Kaprats,1.25,$11 ,G3,Paul King,Warren Radford
6/6/2002,WATC Winter Cup,Belmont,Perfect Minx,1,$4 ,LR,Paul King,Bob McPherson
8/6/2002,Bob Charley AO Stakes,Randwick,Ancient Song,0.8,$7 ,LR,Dale Spriggs,Rado Boljun
8/6/2002,Creswick Stakes,Flemington,Savage Attack,0.8,$5 ,LR,Nash Rawiller,Mark Minervini
8/6/2002,BRC Peter Gallagher Stakes,Eagle Farm,Flying Sparks,0.2,$6 ,LR,Justin Stanley,Alan Bailey
8/6/2002,Queensland Derby,Eagle Farm,County Tyrone,0.3,$11 ,G1,Corey Brown,Max Lees
8/6/2002,Stradbroke Handicap,Eagle Farm,Show a Heart,0.2,$11 ,G1,Danny Nikolic,Barry Miller
8/6/2002,Lindsay Rosenthal Stakes,Belmont,The Right Money,0.5,$2.40F,LR,Jason Whiting,Trevor Andrews
9/6/2002,Millie Fox Stakes,Rosehill,Triko,2.3,$4 ,LR,Larry Cassidy,Ken Callaughan
10/6/2002,Bill Carter Stakes,Eagle Farm,Sheer Devotion,1.3,$13 ,LR,Chris Whiteley,Trevor Miller
10/6/2002,BRC Lightning Handicap,Eagle Farm,Alpine Express,0.5,$13 ,LR,Michael Rodd,Bryan Guy
10/6/2002,Brisbane Cup,Eagle Farm,Prized Gem,0.2,$5 ,G1,Michael Rodd,Murray Baker
10/6/2002,J.J. Atkins,Eagle Farm,Lovely Jubly,1,$4.25 ,G1,Brett Prebble,David Throsby
10/6/2002,The Wayne Wilson,Eagle Farm,Adamantly,0.8,$7 ,LR,Brian York,Gai Waterhouse
13/6/2002,Ascot Handicap,Eagle Farm,Kenconcarne,1.3,$8 ,LR,Stathi Katsidis,Micheal Nolan
13/6/2002,Belmont Classic,Belmont,Dexian,3,$1.40F,LR,Jason Whiting,Phil Humann
15/6/2002,Rockhampton Cup,Rockhampton,Riva Rebel,1,$15 ,LR,Dale Evans,Merv Crouch
15/6/2002,Pam O'Neill Stakes,Doomben,Paris Heartbeat,0.5,$7.50 ,LR,Brad Stewart,Gerald Ryan
15/6/2002,Belmont Guineas,Belmont,Lady Knockout,0.05,$41 ,LR,Glenn Smith,Warwick Bradshaw
15/6/2002,Belmont Sprint,Belmont,Dark 'N' Dangerous,0.5,$7 ,G3,Troy Turner,Ken Shanks
20/6/2002,Takeover Target Stakes,Gosford,Stormcat Academy,0.4,$5F,LR,Corey Brown,Pat Farrell
20/6/2002,Sir John Monash Stakes,Caulfield,Rubitano,1.8,$4.80 ,LR,Nash Rawiller,Brian Mayfield-Smith
20/6/2002,Beaufine Stakes,Belmont,Kaprats,0.3,$2.75F,LR,Paul King,Warren Radford
22/6/2002,BRC Tattersall's Cup,Eagle Farm,Captain Test,0.3,$21 ,G3,Paul Hammersley,John Morish
22/6/2002,QLD RC Life Member Stakes,Eagle Farm,General Minolta,0.4,$15 ,LR,Matthew Gatt,Robert Heathcote
22/6/2002,Tattersall's Tiara,Eagle Farm,Heptonstall,0.2,$11 ,G3,Scott Galloway,John Hawkes
22/6/2002,W.J. Healy Stakes,Eagle Farm,Jar Jar Binks,0.5,$5 ,G3,Michael Rodd,Bryan Guy
22/6/2002,Helena Vale Cup,Belmont,Tumeric,2.5,$2.40F,LR,Daniel Staeck,Alan Mathews
22/6/2002,WATC All Stars Stakes,Belmont,Gambace,2.75,$5 ,LR,Jason Brown,Sharon Miller
27/6/2002,John D Lee Stakes,Cheltenham,Court Of Jewels,2,$6 ,LR,Simon Price,Tony McEvoy
29/6/2002,Eye Liner Stakes,Ipswich,Pittance,0.3,$4F,LR,Danny Nikolic,John Morrisey
29/6/2002,Ipswich Cup,Ipswich,Awesome Weather,0.3,$16 ,G3,Aarron Kennedy,Kelso Wood
29/6/2002,Belmont Oaks,Belmont,Lady Knockout,0.25,$4.50 ,LR,Glenn Smith,Warwick Bradshaw
29/6/2002,Dayana Stakes,Belmont,Dexian,2,$1.60F,LR,Daniel Staeck,Phil Humann
29/6/2002,Grandstand Cup,Belmont,Corporate Bruce,0.05,$2.40F,LR,Kristian Hawkins,Hec McLaren
6/7/2002,Caloundra Cup,Sunshine Coast,Victory Smile,0.4,$4.25 ,LR,Stathi Katsidis,Donna Logan
6/7/2002,Glasshouse Handicap,Sunshine Coast,Scenic Peak,4.3,$10 ,LR,Michael Cahill,Danny Bougoure
6/7/2002,ATC Winter Cup,Rosehill,Outlaws,1.3,$9 ,LR,Corey Brown,John Hawkes
6/7/2002,ATC Winter Stakes,Rosehill,Bulletproof Billy,1,$7 ,LR,Lenny Beasley,Pat Farrell
6/7/2002,Winter Championship Final,Flemington,The Big Ask,0.1,$4.20 ,LR,Jason Patton,Michael Moroney
17/7/2002,Ramornie Handicap,Grafton,Citichy,0.1,$81.00 ,LR,Kim Bell,Nick Flouskos
18/7/2002,Grafton Cup,Grafton,Master Pom,0.1,$51 ,G3,Nathan Cumberland,Stephen Quintano
27/7/2002,Tatts QLD Tattersall's Mile,Eagle Farm,The Kildare Kid,0.2,$10 ,LR,Michael Rodd,Robert Heathcote
27/7/2002,SAJC Lightning Stakes,Cheltenham,Innovation Girl,2.5,$1.60F,G3,Kerrin McEvoy,Brian Mayfield-Smith
3/8/2002,Missile Stakes,Rosehill,Lonhro,3.8,$1.65F,G3,Darren Beadman,John Hawkes
3/8/2002,Bletchingly Stakes,Caulfield,Rubitano,2.3,$1.60F,G3,Nash Rawiller,Brian Mayfield-Smith
3/8/2002,Belmont Newmarket,Belmont,Kaprats,3.75,$4.75 ,LR,Paul King,Warren Radford
5/8/2002,Darwin Cup,Darwin,Brave Decision,1,$3.50EF,LR,Neil Paine,Steven Paynter
10/8/2002,San Domenico Stakes,Randwick,Star of Florida,1.3,$2.10F,G2,Patrick Payne,Pat Duff
10/8/2002,W.H. Wylie Handicap,Morphettville,Star Hit,0.8,$26 ,LR,David Tootell,Gary Kennewell
17/8/2002,Premiere Stakes,Rosehill,Century Kid,3,$4.20 ,G2,Justin Sheehan,Graeme Rogerson
17/8/2002,Ian McEwen Stakes,Moonee Valley,Mistegic,0.3,$3.50 ,LR,Damien Oliver,Lee Curtis
17/8/2002,McKenzie Stakes,Moonee Valley,Bel Esprit,3,$2.10F,LR,Nash Rawiller,John Symons
17/8/2002,William Crockett Stakes,Moonee Valley,Innovation Girl,0.2,$1.70F,LR,Nash Rawiller,Brian Mayfield-Smith
17/8/2002,Idyllic Prince Stakes,Belmont,Tribula,0.5,$21 ,LR,Jason Brown,Arthur Mortimer
24/8/2002,Show County Quality,Warwick Farm,Presently,0.2,$21 ,LR,James Innes,Bruce McLachlan
24/8/2002,Silver Shadow Stakes,Warwick Farm,Victory Vein,0.4,$1.75F,G2,Danny Beasley,Bede Murray
24/8/2002,Toy Show Quality,Warwick Farm,Youhadyourwarning,0.2,$9 ,LR,Corey Brown,John Hawkes
24/8/2002,Up And Coming Stakes,Warwick Farm,Snowland,0.1,$5 ,G2,Chris Munce,Gai Waterhouse
24/8/2002,Winx Stakes,Warwick Farm,Defier,0.2,$7.50 ,G2,Chris Munce,Guy Walter
24/8/2002,Cockram Stakes,Caulfield,Pernod,1.8,$4.60 ,LR,Kerrin McEvoy,Michael Moroney
24/8/2002,P.B. Lawrence Stakes,Caulfield,Sports,0.1,$31 ,G2,Brendan Fenech,John Hawkes
24/8/2002,Quezette Stakes,Caulfield,Innovation Girl,2,$3F,LR,Nash Rawiller,Brian Mayfield-Smith
24/8/2002,Vain Stakes,Caulfield,Delago Brom,0.2,$5 ,LR,Steven Arnold,Tommy Hughes
28/8/2002,Balaklava Cup,Balaklava,Chading,0.1,$13 ,LR,Wayne Kerford,Joe Hall
31/8/2002,ATC Premier's Cup,Rosehill,Gamesman,0.1,$16 ,LR,Jim Cassidy,Gai Waterhouse
31/8/2002,Concorde Stakes,Rosehill,Fouardee,0.4,$11 ,G3,Chris Munce,Jim Lee
31/8/2002,Golden Rose,Rosehill,Sportsman,0.1,$8.50 ,G2,Darryl McLellan,Gregory Hickman
31/8/2002,Sheraco Stakes,Rosehill,Pompeii,0.3,$9 ,LR,Darryl McLellan,Garry White
31/8/2002,H.D.F. McNeil Stakes,Caulfield,Bel Esprit,3.5,$1.45F,G3,Nash Rawiller,John Symons
31/8/2002,Heatherlie Stakes,Caulfield,Chairman's Choice,0.2,$12 ,LR,Lonagan Milham,Ray Naylor
31/8/2002,Memsie Stakes,Caulfield,Magical Miss,0.8,$7 ,G2,Steven Arnold,Bart Cummings
31/8/2002,Belmont Park Cup,Belmont,Our Annabel,0.1,$11 ,LR,Shaun McGruddy,Donna Baillie
31/8/2002,Farnley Stakes,Belmont,Master Park,0.15,$5.50 ,LR,Paul Harvey,Luke Trew
5/9/2002,Wyong Gold Cup,Wyong,Bondi Iceberg,1,$10 ,LR,Brian York,Tony Wildman
7/9/2002,Chelmsford Stakes,Randwick,Lonhro,2.3,$1.55F,G2,Darren Beadman,John Hawkes
7/9/2002,Furious Stakes,Randwick,Victory Vein,0.5,$1.45F,G3,Danny Beasley,Bede Murray
7/9/2002,Ming Dynasty Quality,Randwick,Half Hennessy,0.3,$3F,G3,Corey Brown,Bede Murray
7/9/2002,Roman Consul Stakes,Randwick,Snowland,0.2,$1.90F,G3,Chris Munce,Gai Waterhouse
7/9/2002,Tatt's NSW Tattersall's Plate,Randwick,Bello Signor,0.5,$9.50 ,LR,Darren Beadman,Gerald Ryan
7/9/2002,Tramway Stakes,Randwick,Gordo,0.2,$3.50F,G3,Corey Brown,John Hawkes
7/9/2002,Leon MacDonald Stakes,Morphettville,Oliver Beer,1.8,$7 ,LR,Travis Creek,Dan O'Sullivan
7/9/2002,Boulder Cup,Kalgoorlie,Lawmaker,0.25,$3F,LR,Jeff Noske,Ruth Banner
7/9/2002,Bobbie Lewis Quality,Flemington,Chong Tong,0.1,$11 ,G3,Damien Oliver,Lee Freedman
7/9/2002,Coolmore Stud Stakes,Flemington,Innovation Girl,0.8,$2.60F,G2,Kerrin McEvoy,Brian Mayfield-Smith
7/9/2002,Let's Elope Stakes,Flemington,Purple Groove,1.8,$10 ,LR,Nash Rawiller,Tony Noonan
7/9/2002,Makybe Diva Stakes,Flemington,Northerly,0.5,$3.20F,G2,Greg Childs,Fred Kersley
7/9/2002,Paris Lane Stakes,Flemington,Squillani,0.3,$8 ,LR,Danny Nikolic,Phillip Stokes
12/9/2002,Hannan's Handicap,Kalgoorlie,Corporate Bruce,0.1,$9 ,LR,Kristian Hawkins,Hec McLaren
14/9/2002,ATC Golden Pendant,Rosehill,Mica's Pride,0.2,$9 ,G3,Robert Thompson,Les Bridge
14/9/2002,Kingston Town Stakes,Rosehill,Dress Circle,0.2,$7 ,G3,Lenny Beasley,Gai Waterhouse
14/9/2002,Theo Marks Stakes,Rosehill,Defier,0.1,$3.20F,G2,Chris Munce,Guy Walter
14/9/2002,Behemoth Stakes,Morphettville,Strategic Image,0.2,$3.80F,G3,Luke Currie,Peter Moody
14/9/2002,Morphettville Guineas,Morphettville,Milanova,1.3,$6 ,LR,Simon Price,Tony McEvoy
14/9/2002,Feehan Stakes,Moonee Valley,Fields of Omagh,0.1,$3.20F,G2,Damien Oliver,Tony McEvoy
14/9/2002,Manikato Stakes,Moonee Valley,Spinning Hill,0.8,$8.50 ,G1,Patrick Payne,Guy Walter
14/9/2002,Red Anchor Stakes,Moonee Valley,Yell,3,$2.50F,G3,Darren Gauci,John Hawkes
14/9/2002,Stocks Stakes,Moonee Valley,Gold Lottey,1,$11 ,G3,Steven King,Graeme Rogerson
14/9/2002,Kalgoorlie Gold Cup,Kalgoorlie,Lawmaker,0.5,$2.60F,LR,Jeff Noske,Ruth Banner
18/9/2002,Cameron Handicap,Newcastle,Excellerator,0.1,$7.50 ,LR,Jim Cassidy,Gai Waterhouse
19/9/2002,Newcastle Gold Cup,Newcastle,Time Off,0.3,$13 ,G3,Corey Brown,John Hawkes
19/9/2002,Spring Stakes,Newcastle,Clangalang,1.5,$5 ,G3,Scott Seamer,Gerald Ryan
21/9/2002,Gloaming Stakes,Rosehill,Maskerado,0.2,$8.50 ,G2,Corey Brown,Graeme Rogerson
21/9/2002,Heritage Stakes,Rosehill,Force Apollo,0.1,$3.80EF,LR,Corey Brown,John Hawkes
21/9/2002,Hill Stakes,Rosehill,Dress Circle,0.1,$5.50 ,G2,Lenny Beasley,Gai Waterhouse
21/9/2002,Shannon Stakes,Rosehill,Gordo,0.3,$3.80 ,G2,Corey Brown,John Hawkes
21/9/2002,Starlight Stakes,Rosehill,Into the Night,0.3,$3.50F,LR,Danny Beasley,Keith Dryden
21/9/2002,Tea Rose Stakes,Rosehill,Victory Vein,2.5,$1.50F,G2,Danny Beasley,Bede Murray
22/9/2002,Caulfield Guineas Prelude,Caulfield,Great Glen,0.3,$21 ,G3,Kerrin McEvoy,Leon Macdonald
22/9/2002,Foundation Cup,Caulfield,Pentastic,0.8,$13 ,LR,Brett Prebble,David Hall
22/9/2002,How Now Stakes,Caulfield,Taimana,0.5,$15 ,LR,Kerrin McEvoy,Michael Moroney
22/9/2002,Sir Rupert Clarke Stakes,Caulfield,Pernod,0.3,$5 ,G1,Kerrin McEvoy,Michael Moroney
22/9/2002,Thousand Guineas Prelude,Caulfield,La Bella Dame,0.1,$8 ,G3,Danny Nikolic,Mick Price
22/9/2002,Underwood Stakes,Caulfield,Northerly,0.2,$3 ,G1,Greg Childs,Fred Kersley
26/9/2002,Golden Nugget Handicap,Ballarat,Dane River,1.8,$12 ,LR,Stephen Baster,Brian Mayfield-Smith
28/9/2002,ATC Breeders' Plate,Randwick,Ribald,0.2,$21 ,LR,Darren Beadman,John Hawkes
28/9/2002,Bill Ritchie Handicap,Randwick,Zabarra,0.5,$17 ,G3,Robert Thompson,Jack Denham
28/9/2002,Callander-Presnall Stakes,Randwick,Rare Insight,0.8,$3.40 ,G2,Darren Beadman,John Hawkes
28/9/2002,Colin Stephen Quality,Randwick,Red Trinket,0.3,$2.80F,G3,Chris Munce,Gai Waterhouse
28/9/2002,Dulcify Quality,Randwick,Beaver,0.5,$11 ,LR,Darren Beadman,John Hawkes
28/9/2002,King Charles III Stakes,Randwick,Defier,0.4,$3.80 ,G1,Chris Munce,Guy Walter
28/9/2002,Reginald Allen Quality,Randwick,Private Steer,4,$5 ,LR,Grant Buckley,Lee Curtis
28/9/2002,The Nivison,Randwick,Gwendolyn,0.5,$18 ,LR,Danny Nikolic,Max Lees
28/9/2002,Murray Bridge Gold Cup,Murray Bridge,Mustaagel,0.9,$7 ,LR,Simon Price,Tony McEvoy
28/9/2002,Black Heart Bart Stakes,Belmont,Storm Shot,2.5,$2.75F,LR,Paul Harvey,David Harrison
4/10/2002,Bill Stutt Stakes,Moonee Valley,Helenus,3.5,$5 ,G2,Steven King,Leon Corstens
5/10/2002,Brian Crowley Stakes,Randwick,Planchet,2,$3.90 ,LR,Corey Brown,John Hawkes
5/10/2002,Canonbury Stakes,Randwick,Hammerbeam,1,$11 ,LR,Darren Beadman,John Hawkes
5/10/2002,Craven Plate,Randwick,Manner Hill,2,$6 ,G3,Chris Munce,Gai Waterhouse
5/10/2002,Epsom Handicap,Randwick,Excellerator,2.5,$21 ,G1,Jim Cassidy,Gai Waterhouse
5/10/2002,Flight Stakes,Randwick,Royal Purler,0.2,$31 ,G1,Patrick Payne,Gregory Hickman
5/10/2002,Spring Champion Stakes,Randwick,Platinum Scissors,0.2,$2.80F,G1,Jim Cassidy,Gai Waterhouse
5/10/2002,Edward Manifold Stakes,Flemington,Coupe,0.1,$31 ,G2,Vincent Hall,Mat Ellerton
5/10/2002,Gilgai Stakes,Flemington,Cosmic Strike,0.2,$17 ,G3,Jason Patton,Dan O'Sullivan
5/10/2002,Poseidon Stakes,Flemington,Hydrometer,0.8,$7 ,LR,Damien Oliver,Leon MacDonald
5/10/2002,Rose Of Kingston Stakes,Flemington,Hosannah,1,$10 ,G3,Darren Gauci,John Hawkes
5/10/2002,Turnbull Stakes,Flemington,Northerly,0.2,$2.90F,G2,Greg Childs,Fred Kersley
5/10/2002,Hill Smith Stakes,Cheltenham,Anacarde,0.7,$7 ,LR,Jason Holder,Tony McEvoy
7/10/2002,The Metropolitan,Randwick,Victory Smile,1.3,$21 ,G1,Danny Beasley,Donna Logan
7/10/2002,The Shorts,Randwick,Empire,0.1,$8 ,G3,Hugh Bowman,Max Lees
7/10/2002,Widden Stakes,Randwick,Secret Land,0.8,$6 ,LR,Chris Munce,Gai Waterhouse
7/10/2002,Maribyrnong Trial Stakes,Flemington,Fashion Victim,0.4,$3F,LR,Brett Prebble,David Hall
9/10/2002,Cranbourne Cup,Cranbourne,Eagle Rhythm,0.4,$10 ,LR,Kerrin McEvoy,Leon MacDonald
12/10/2002,Fulham Park Plate,Victoria Park,On Focus,0.1,$21 ,LR,Joe Bowditch,Craig Curtis
12/10/2002,Caulfield Guineas,Caulfield,Helenus,1.5,$4.20F,G1,Steven King,Leon Corstens
12/10/2002,Herbert Power Stakes,Caulfield,The Secondmortgage,0.2,$8 ,G2,Kerrin McEvoy,MIchael Moroney
12/10/2002,Schillaci Stakes,Caulfield,Spinning Hill,0.1,$4.20 ,G2,Patrick Payne,Guy Walter
12/10/2002,The Might And Power,Caulfield,Lonhro,0.4,$2.10F,G1,Darren Beadman,John Hawkes
12/10/2002,Thoroughbred Club Stakes,Caulfield,Innovation Girl,2.5,$1.80F,G3,Nash Rawiller,Brian Mayfield-Smith
12/10/2002,Toorak Handicap,Caulfield,Shot Of Thunder,0.1,$4.80 ,G1,Glen Boss,John O'Shea
12/10/2002,Miss Andretti Stakes,Belmont,Master Park,0.15,$21 ,LR,Jason Whiting,Luke Trew
13/10/2002,Canberra Cup,Canberra,Benmanang,0.4,$11 ,LR,Craig Newitt,Len Hodgson
16/10/2002,MRC Debutante Stakes,Caulfield,Carlton Spirit,1.3,$4.80 ,LR,Stephen Baster,Tony McEVoy
16/10/2002,One Thousand Guineas,Caulfield,Macedon Lady,0.1,$8 ,G1,Steven King,John Symons
16/10/2002,VATC Debutant Stakes,Caulfield,Scaredee Cat,0.8,$18 ,LR,Danny Nikolic,Cliff Brown
17/10/2002,Belle Of The Turf Stakes,Gosford,Rosa Marada,0.8,$51 ,LR,Brent Stanley,Graeme Rogerson
17/10/2002,Gosford Classic,Gosford,Beaver,0.1,$3.80 ,LR,Darren Beadman,John Hawkes
19/10/2002,City Tattersall's Club Cup,Randwick,Barawin,0.2,$13 ,LR,Robbie Brewer,Bob Thomsen
19/10/2002,Sydney Stakes,Randwick,National Saint,0.2,$8.50 ,LR,James Innes,Sterling Smith
19/10/2002,Caulfield Classic,Caulfield,Platinum Scissors,0.2,$4.20 ,G2,Jim Cassidy,Gai Waterhouse
19/10/2002,Caulfield Cup,Caulfield,Northerly,0.2,$5.50 ,G1,Greg Childs,Fred Kersley
19/10/2002,Caulfield Sprint,Caulfield,Rubitano,1.8,$7 ,G2,Nash Rawiller,Brian Mayfield-Smith
19/10/2002,Coongy Cup,Caulfield,Mr. Lofty,0.1,$4 ,G3,Luke Currie,David Hall
19/10/2002,Gothic Stakes,Caulfield,True Glo,0.1,$13 ,LR,Damien Oliver,Lee Freedman
19/10/2002,Moonga Stakes,Caulfield,Assertive Lad,0.3,$16 ,G3,Jim Cassidy,Gai Waterhouse
19/10/2002,Tristarc Stakes,Caulfield,Reactive,0.8,$41 ,G3,Reece Wheeler,Brian Mayfield-Smith
19/10/2002,Belgravia Stakes,Ascot,The Right Money,0.5,$6.50 ,LR,Jason Whiting,Trevor Andrews
19/10/2002,Eurythmic Stakes,Ascot,Mr. Callahan,0.05,$26 ,LR,Kevin Forrester,Monique Campbell
20/10/2002,Seymour Cup,Seymour,Dane River,2.8,$2.50F,LR,Danny Nikolic,Brian Mayfield-Smith
22/10/2002,Geelong Derby Trial,Geelong,Live Theatre,0.1,$5 ,LR,Vincent Hall,Mat Ellerton
24/10/2002,JRA Cup,Moonee Valley,Cheverny,1.3,$10 ,LR,Glen Boss,Guy Walter
24/10/2002,Scarborough Stakes,Moonee Valley,Before Too Long,2.5,$8.50 ,G2,Jim Cassidy,Gary Portelli
26/10/2002,Alexandra Stakes,Moonee Valley,Dextrous,1.3,$4.80 ,LR,Darren Gauci,John Hawkes
26/10/2002,Cox Plate,Moonee Valley,Northerly,1,$4 ,G1,Patrick Payne,Fred Kersley
26/10/2002,Crystal Mile,Moonee Valley,Royal Code,2.3,$4.60 ,G2,Brett Prebble,David Hall
26/10/2002,Moir Stakes,Moonee Valley,Spinning Hill,0.8,$3.50F,G2,Frankie Dettori,Guy Walter
26/10/2002,Moonee Valley Gold Cup,Moonee Valley,Thong Classic,0.3,$6 ,G2,Brett Prebble,Pat Carey
26/10/2002,Moonee Valley Vase,Moonee Valley,Helenus,0.8,$1.70F,G2,Steven King,Leon Corstens
26/10/2002,Tesio Stakes,Moonee Valley,Gentle Genius,0.8,$7 ,G3,Greg Childs,Tony Wildman
26/10/2002,Valley Pearl Stakes,Moonee Valley,Pinchbeck,0.1,$9 ,LR,John Didham,Rick Hore-Lacy
26/10/2002,Winterbottom Stakes,Ascot,Hardrada,0.2,$8 ,G2,Jason Whiting,Lou Luciani
30/10/2002,Werribee Cup,Werribee,Makybe Diva,0.8,$4.20 ,LR,Luke Currie,David Hall
30/10/2002,Prince Of Wales Stakes,Ascot,Tribula,0.45,$15 ,G3,Stephen Miller,Arthur Mortimer
2/11/2002,Archer Stakes,Flemington,Requiem,0.8,$10 ,G2,Greg Childs,Tony McEvoy
2/11/2002,Danehill Stakes,Flemington,Planchet,1.3,$6.50 ,G3,Darren Gauci,John Hawkes
2/11/2002,Empire Rose Stakes,Flemington,Miss Zoe,2.8,$6 ,G2,Justin Sheehan,Les Bridge
2/11/2002,Rising Fast Stakes,Flemington,To Be Fair,2.3,$81 ,G3,Danny Nikolic,Graeme Rogerson
