Date,Race,Track,Winner,Margin,SP,Race Grade,Jockey,Trainer
18/6/1988,Rockhampton Cup,Rockhampton,River Road,3,$11 ,LR,Jon Walk,L Clarke
18/6/1988,Pam O'Neill Stakes,Doomben,Marmie's Girl,1,$11 ,LR,Stuart Plain,John Griffith
18/6/1988,Belmont Oaks,Belmont,Rose Chapeau,2,$4.50 ,LR,Jeff Berry,C Green
25/6/1988,BRC Tattersall's Cup,Eagle Farm,Plume D'Or Veille,1.5,$8 ,G3,Brian York,Nigel Landers
25/6/1988,W.J. Healy Stakes,Eagle Farm,Lots Of Rule,0.2,$7 ,LR,Brian York,Bruce McLachlan
30/6/1988,Townsville Cup,Townsville,Lost Valley,1,$11 ,LR,Mark Unwin,Brett Lazzarini
30/6/1988,Belle Of The Turf Stakes,Gosford,St Klaire,1,$6.50 ,LR,Kevin Moses,Neville Begg
30/6/1988,SAJC Lightning Stakes,Cheltenham,Clay Hero,4,$2.80F,G3,John Didham,Rick Hore-Lacy
2/7/1988,W.J. McKell Cup,Rosehill,Natski,0.1,$1.50F,LR,Mick Dittman,Jack Denham
2/7/1988,Eye Liner Stakes,Ipswich,Robian Steel,0.8,$9 ,LR,Stephen Schofield,Graham Loader
2/7/1988,Ipswich Cup,Ipswich,Burglar Of Bamff,0.4,$17 ,G3,Lloyd Brazier,Mick Mair
2/7/1988,Anzac Day Stakes,Flemington,Flamenco King,3.5,$9 ,LR,Craig Dinn,Ray Lawson
4/7/1988,WATC All Stars Stakes,Belmont,Pago Mystery,1,$1.65F,LR,Vaugn Sigley,Wally Mitchell
6/7/1988,WATC Winter Cup,Belmont,Part Pago,0.2,$3.50F,G3,Mark Sestich,Ted Martinovich
9/7/1988,The Headquarters Handicap,Flemington,Kalahari,1,$4.50F,LR,Michael Clarke,George Symons
9/7/1988,Winter Championship Final,Flemington,Kingston Lane,1.8,$17 ,LR,David Chipman,Mark Riley
13/7/1988,Ramornie Handicap,Grafton,Regal Affair,0.2,$3.75F,LR,Larry Olsen,Colin Jillings
14/7/1988,Grafton Cup,Grafton,Sasha Bijou,2,$11 ,LR,Dennis McClune,Les Edwards
16/7/1988,ATC Winter Cup,Rosehill,Natski,0.3,$2F,LR,Gavan Duffy,Jack Denham
