YEAR,RACE,TRACK,DISTANCE,WINNER,TRAINER,JOCKEY,COUNTRY,,,,,,,,,
1980,NEWMARKET HANDICAP,FLEMINGTON,1200,Dor Kon,Norm Cakebread,Brendan Clements,AUSTRALIA,,,,,,,,,
1980,NORFOLK STAKES,SANTA ANITA,1800,Sir Dancer,Charles Marikian,Frank Olivares,USA,,,,,,,,,
1980,NUNTHORPE STAKES,,,Sharpo,Jeremy Tree,Pat Eddery,,,,,,,,,,
1980,NZ 1000 GUINEAS,RICCARTON,1600,Powley,Hec Anderton,Michael Casey,NEW ZEALAND,,,,,,,,,
1980,NZ 2000 GUINEAS,RICCARTON,1600,Sir Avon,Jack Winder,Bruce Compton,NEW ZEALAND,,,,,,,,,
1980,NZ DERBY,ELLERSLIE,2400,Ring The Bell,Neville Atkins,Nigel Tiley,NEW ZEALAND,,,,,,,,,
1980,NZ OAKS,TRENTHAM,2400,Supreme Glory,Bert Furness,Jim Walker,NEW ZEALAND,,,,,,,,,
1980,NZ RAILWAY STAKES,ELLERSLIE,1200,Arbre Chene,Peter Cathro,Alwin Tweedle,NEW ZEALAND,,,,,,,,,
1980,NZ SIRES PRODUCE,AWAPUNI,1400,Paddy Boy,Paddy Payne,Greg Childs,NEW ZEALAND,,,,,,,,,
1980,NZ STAKES,,,Arbre Chene,Peter Cathro,Lester Piggott,,,,,,,,,,
1980,OAK LEAF STAKES,,,Astorius,Jerry Fanning,Terry Lipham,,,,,,,,,,
1980,OAK TREE INVITATIONAL,,,John Henry,Ron McAnally,Laffit Pincay Jnr,,,,,,,,,,
1980,OAKLEIGH PLATE,CAULFIELD,1100,Turf Ruler,Angus Armanasco,Greg Hall,AUSTRALIA,,,,,,,,,
1980,OAKS D'ITALIA,,,Marmolada,,Gianfranco Dettori,,,,,,,,,,
1980,PENFOLDS CHARDON MILE,,,Mellseur,Hec Anderton,Nick Harnett,,,,,,,,,,
1980,PERTH CUP,ASCOT (AUS),3200,Rothschild,Andy White,Willie Carson,AUSTRALIA,,,,,,,,,
1980,PHOENIX STAKES,,,Swan Princess,Brain Swift,Taffy Thomas,,,,,,,,,,
1980,POULE D'ESSAI DES POULAINS,,,In Fijar,Mitri Saliba,Georges Doleuze,,,,,,,,,,
1980,POULE D'ESSAI DES POULICHES,,,Aryenne,John Fellows,Maurice Philepperon,,,,,,,,,,
1980,PREAKNESS STAKES,PIMILCO,1900,Codex,D Wayne Lukas,Angel Cordero Jnr,USA,,,,,,,,,
1980,PREIS VON EUROPA,,,Pawiment,Charly Seiffert,Otto Gervai,,,,,,,,,,
1980,PREMIO LYDIA TESIO,,,Marmolada,Enrico Camici,C Forte,,,,,,,,,,
1980,PREMIO ROMA,,,Mariella,Francois Boutin,Philippe Paquet,,,,,,,,,,
1980,PRIX D'ISPAHAN,,,Nadjar,Aage Paus,Alain Lequeux,,,,,,,,,,
1980,PRIX DE DIANE,,,Mrs Penny,Ian Balding,Lester Piggott,,,,,,,,,,
1980,PRIX DE L'ABBAYE DE LONGCHAMP,,,Moorestyle,Robert Armstrong,Lester Piggott,,,,,,,,,,
1980,PRIX DE L'ARC DE TRIOMPHE,LONGCHAMP,2400,Detroit,Olivier Douieb,Pat Eddery,FRANCE,,,,,,,,,
1980,PRIX DE LA FORET,,,Moorestyle,Robert Armstrong,Lester Piggott,,,,,,,,,,
1980,PRIX DE LA SALAMANDRE,,,Miswaki,Francois Boutin,Philippe Paquet,,,,,,,,,,
1980,PRIX DU CADRAN,,,Shafaraz,Pierre Biancone,Maurice Philepperon,,,,,,,,,,
1980,PRIX DU JOCKEY CLUB,,,Policeman,Charlie Millbank,Willie Carson,,,,,,,,,,
1980,PRIX DU MOULIN DE LONGCHAMP,,,Kilijaro,Olivier Douieb,Freddy Head,,,,,,,,,,
1980,PRIX GANAY,,,Le Marmot,Francois Boutin,Philippe Paquet,,,,,,,,,,
1980,PRIX JACQUES LE MAROIS,,,Nadjar,Aage Paus,Alain Lequeux,,,,,,,,,,
1980,PRIX JEAN LUC-LAGARDERE,,,Recitation,Guy Harwood,Greville Starkey,,,,,,,,,,
1980,PRIX LUPIN,,,Belgio,John Cunnington Jnr,Maurice Phillpperon,,,,,,,,,,
1980,PRIX MARCEL BOUSSAC,,,Tropicaro,Maurice Zilber,Alain Lequeux,,,,,,,,,,
1980,PRIX MORNY,DEAUVILLE,1200,Ancient Regime,John Fellows,Maurice Philepperon,FRANCE,,,,,,,,,
1980,PRIX ROBERT PAPIN,MAISONS-LAFITTE,1100,Irish Playboy,Olivier Douieb,Alain Lequeux,FRANCE,,,,,,,,,
1980,PRIX ROYAL-OAK,LONGCHAMP,3100,Gold River,Alec Head,Freddy Head,FRANCE,,,,,,,,,
1980,PRIX SAINT-ALARY,LONGCHAMP,2000,Paranette,Mitri Saliba,Alfred Gibert,FRANCE,,,,,,,,,
1980,PRIX VERMEILLE,LONGCHAMP,2400,Mrs Penny,Ian Balding,John Matthias,FRANCE,,,,,,,,,
1980,PURE-PAK STAKES,FLEMINGTON,1200,Watney,Kel Chapman,Robert Heffernan,AUSTRALIA,,,,,,,,,
1980,QUEEN ELIZABETH STAKES,RANDWICK,2000,Iko,Tommy Smith,Malcolm Johnston,AUSTRALIA,,,,,,,,,
1980,QUEENSLAND DERBY,EAGLE FARM,2400,Kingston Town,Tommy Smith,Malcolm Johnston,AUSTRALIA,,,,,,,,,
1980,QUEENSLAND OAKS,EAGLE FARM,2400,Lowan Star,Tommy Smith,Malcolm Johnston,AUSTRALIA,,,,,,,,,
1980,RACING POST TROPHY,,,Beldale Flutter,Michael Jarvis,Pat Eddery,,,,,,,,,,
1980,RAILWAY STAKES,ASCOT (AUS),1500,Golden Heights,Harley Johnston,Ian Albuino,AUSTRALIA,,,,,,,,,
1980,RAWSON STAKES,ROSEHILL,2000,Minuetto,Colin Hayes,Brent Thomson,AUSTRALIA,,,,,,,,,
1980,ROSEHILL GUINEAS,ROSEHILL,2000,Kingston Town,Tommy Smith,Malcolm Johnston,AUSTRALIA,,,,,,,,,
1980,RUFFIAN HANDICAP,,,Genuine Risk,Leroy Jolley,Jacinto Vasquez,,,,,,,,,,
1980,SAN ANTONIO HANDICAP,,,Beau's Eagle,Larry Rose,Don Pierce,,,,,,,,,,
1980,SAN JUAN CAPISTRANO INVITATIONAL,,,John Henry,Ron McAnally,Darrel McHargue,,,,,,,,,,
1980,SAN LUIS REY STAKES,,,John Henry,Ron McAnally,Darrel McHargue,,,,,,,,,,
1980,SANTA ANITA DERBY,,,Codex,D Wayne Lukas,Patrick Valenzuela,,,,,,,,,,
1980,SANTA ANITA HANDICAP,,,Spectacular Bid,Grover Delp,Bill Shoemaker,,,,,,,,,,
1980,SANTA ANITA OAKS,,,Bold 'n' Determined,Neil Drysdale,Ed Delahoussaye,,,,,,,,,,
1980,SANTA BARBARA HANDICAP,,,Sisterhood,Lazaro Barrera,Laffit Pincay Jnr,,,,,,,,,,
1980,SANTA MARGARITA INVITATIONAL HANDICAP,,,Glorious Song,Gerald Belanger Jnr,Chris McCarron,,,,,,,,,,
1980,SAPLING STAKES,,,Travelling Music,Bowes Bond,Craig Perret,,,,,,,,,,
1980,SELIMA STAKES,,,Heavenly Cause,Woody Stephens,Laffit Pincay Jnr,,,,,,,,,,
1980,SORORITY STAKES,,,Fancy Naskra,Jerry Calvin,Larry Snyder,,,,,,,,,,
1980,SOUTH AUSTRALIAN DERBY,MORPHETTVILLE,2500,Tasman,Brian Ralph,Peter Shepherd,AUSTRALIA,,,,,,,,,
1980,SPINAWAY STAKES,,,Prayers'n'Promises,Thomas Rondinello,Angel Cordero Jnr,,,,,,,,,,
1980,SPINSTER STAKES,,,Bold 'n Determined,Neil Drysdale,Ed Delahoussaye,,,,,,,,,,
1980,SPRING CHAMPION STAKES,RANDWICK,2000,Prince Majestic,Ray Verner,David Peake,AUSTRALIA,,,,,,,,,
1980,ST LEGER,DONCASTER,2921,Light Cavalry,Sir Henry Cecil,Joe Mercer,ENGLAND,,,,,,,,,
1980,STRADBROKE HANDICAP,EAGLE FARM,1400,Bemboka Yacht,Peter Staunton,Kerry Smith,AUSTRALIA,,,,,,,,,
1980,STRUB STAKES,,,Spectacular Bid,Grover Delp,Bill Shoemaker,,,,,,,,,,
1980,SUBURBAN HANDICAP,BELMONT PARK,2000,Winter's Tale,MacKenzie Miller,Jeff Fell,USA,,,,,,,,,
1980,SUNSET HANDICAP,,,Inkerman,Charles Whittingham,Bill Shoemaker,,,,,,,,,,
1980,SUSSEX STAKES,GOODWOOD,1600,Posse,John Dunlop,Pat Eddery,ENGLAND,,,,,,,,,
1980,SWAPS STAKES,,,First Albert,Lazaro Barrera,Francisco Mena,,,,,,,,,,
1980,SYDNEY CUP,RANDWICK,3200,Kingston Town,Tommy Smith,Malcolm Johnston,AUSTRALIA,,,,,,,,,
1980,TATTERSALLS GOLD CUP,,,Noelino,Paddy Prendergast,Christy Roche,,,,,,,,,,
1980,THE METROPOLITAN,RANDWICK,2600,Brindisi,Brian Mayfield-Smith,Ray Selkrig,AUSTRALIA,,,,,,,,,
1980,THORNDON MILE,TRENTHAM,1600,Raywood Lass,Evan Rayner,Paul Belsham,NEW ZEALAND,,,,,,,,,
1980,THOUSAND GUINEAS,CAULFIELD,1600,Biscadale,Angus Armanasco,Greg Hall,AUSTRALIA,,,,,,,,,
1980,TOORAK HANDICAP,CAULFIELD,1600,Torbek,Wayne Walters,Maurice Campbell,AUSTRALIA,,,,,,,,,
1980,TOP FLIGHT HANDICAP,,,Glorious Song,Gerald Belanger Jnr,Jorge Velasquez,,,,,,,,,,
1980,TRAVERS STAKES,,,Temperence Hill,Joseph Cantey,Eddie Maple,,,,,,,,,,
1980,UK 1000 GUINEAS,NEWMARKET,1600,Quick As Lightning,John Dunlop,Brian Rouse,ENGLAND,,,,,,,,,
1980,UK 2000 GUINEAS,NEWMARKET,1600,Known Fact,Jeremy Tree,Willie Carson,ENGLAND,,,,,,,,,
1980,UNDERWOOD STAKES,CAULFIELD,2000,Waitangirua,Terry Millard,Malcolm Johnston,AUSTRALIA,,,,,,,,,
1980,UNDERWOOD STAKES,CAULFIELD,2000,My Brown Jug,Peter Jones,Roy Higgins,AUSTRALIA,,,,,,,,,
1980,UNITED NATIONS HANDICAP,,,Lyphard's Wish,Angel Penna Snr,Angel Cordero Jnr,,,,,,,,,,
1980,VANITY INVITATIONAL HANDICAP,,,It's In The Air,Laz Barrera,Laffit Pincay Jnr,,,,,,,,,,
1980,VOSBURGH STAKES,,,Plugged Nickle,Thomas Kelly,Cash Asmussen,,,,,,,,,,
1980,VRC DERBY,FLEMINGTON,2500,Sovereign Red,Geoff Murphy,Mick Goreham,AUSTRALIA,,,,,,,,,
1980,VRC OAKS,FLEMINGTON,2500,November Rain,Neville Begg,Ron Quinton,AUSTRALIA,,,,,,,,,
1980,VRC SIRES' PRODUCE,FLEMINGTON,1400,Outward Bound,Colin Hayes,Brent Thomson,AUSTRALIA,,,,,,,,,
1980,WASHINGTON DC INTERNATIONAL STAKES,,,Argument,Maurice Zilber,Lester Piggott,,,,,,,,,,
1980,WATC AUSTRALIAN DERBY,ASCOT (AUS),2400,Sovereign Red,Geoff Murphy,Mick Goreham,AUSTRALIA,,,,,,,,,
1980,WATC DERBY,ASCOT (AUS),2400,Seltrice,Andy White,Pat Trotter,AUSTRALIA,,,,,,,,,
1980,WATC OAKS,ASCOT (AUS),2400,Queen Inca,Colin Webster,,AUSTRALIA,,,,,,,,,
1980,WELLINGTON CUP,TRENTHAM,3200,Cubacade,Don Couchman,Jim Walker,NEW ZEALAND,,,,,,,,,
1980,WESTERN MAIL CLASSIC,ASCOT (AUS),1800,Sovereign Red,Geoff Murphy,Mick Goreham,AUSTRALIA,,,,,,,,,
1980,WIDENER HANDICAP,,,Private Account,Angel Penna Snr,Jeff Fell,,,,,,,,,,
1980,WOOD MEMORIAL STAKES,,,Plugged Nickle,Thomas Kelly,Buck Thornburg,,,,,,,,,,
1980,WOODWARD STAKES,,,Spectacular Bid,Grover Delp,Bill Shoemaker,,,,,,,,,,
1980,YELLOW RIBBON STAKES,,,Kilijaro,Oliver Douieb,Alain Lequeux,,,,,,,,,,
1980,YORKSHIRE OAKS,YORK,2385,Shoot A Line,Dick Hern,Lester Piggott,ENGLAND,,,,,,,,,
1980,YOUNG AMERICA STAKES,,,Lord Avir,Daniel Perlseig,Jorge Velasquez,,,,,,,,,,
1980,EASTER HANDICAP,ELLERSLIE,1600,Silver Nymph,Gary Mudgway,Warwick Robinson,NEW ZEALAND,,,,,,,,,
1979,QTC SIRES PRODUCE,EAGLE FARM,1400,Chortle,Bruce McLachlan,Brian York,AUSTRALIA,,,,,,,,,
1978,SOUTH AUSTRALIAN OAKS,MORPHETTVILLE,2500,Voile D'Or,John Miller,Jeff Noske,AUSTRALIA,,,,,,,,,
1981,ACORN STAKES,BELMONT PARK,1600,Heavenly Cause,Woody Stephens,Laffit Pincay Jnr,USA,,,,,,,,,
1981,ADELAIDE CUP,MORPHETTVILLE,3200,Just A Dash,Tommy Smith,Malcolm Johnston,AUSTRALIA,,,,,,,,,
1981,ALABAMA STAKES,SARATOGA,2000,Prismatical,Luis Barrera,Eddie Maple,USA,,,,,,,,,
1981,ALL AGED STAKES,RANDWICK,1600,Watney,Kel Chapman,Robert Heffernan,AUSTRALIA,,,,,,,,,
1981,ALLAN ROBERTSON CHAMPIONSHIP,SCOTTSVILLE,1200,Breyani,David Payne,,SOUTH AFRICA,,,,,,,,,
1981,AMERICAN DERBY,ARLINGTON,1800,Pocket Zipper,Richard Hazleton,Ray Sibille,USA,,,,,,,,,
1981,APPLE BLOSSOM HANDICAP,OAKLAWN PARK,1700,Bold 'n Determined,Neil Drysdale,Ed Delahoussaye,USA,,,,,,,,,
1981,ARAL-POKAL,GELSENKIRCHEN,2400,Wauthi,Theo Grieper,Peter Remmert,GERMANY,,,,,,,,,
1981,ARKANSAS DERBY,OAKLAWN PARK,1800,Bold Ego,Dennis Were,John Lively,USA,,,,,,,,,
1981,ARLINGTON CLASSIC,ARLINGTON,1800,Fairway Platform,Carl Nafzger,John Lively,USA,,,,,,,,,
1981,ARLINGTON WASHINGTON FUTURITY,ARLINGTON,1400,Lets Don’t Fight,Anthony Basile,John Lively,USA,,,,,,,,,
1981,ARLINGTON-WASHINGTON LASSIE STAKES,ARLINGTON,1400,Milingo,George Getz,Ray Sibille,USA,,,,,,,,,
1981,ASCOT GOLD CUP,ASCOT (UK),4000,Ardross,Sir Henry Cecil,Lester Piggott,ENGLAND,,,,,,,,,
1981,AUCKLAND CUP,ELLERSLIE,3200,Drum (NZ),Wayne Pike,Chris McNab,NEW ZEALAND,,,,,,,,,
1981,AUSTRALIAN CUP,FLEMINGTON,2000,Hyperno,Bart Cummings,Harry White,AUSTRALIA,,,,,,,,,
1981,AUSTRALIAN DERBY,RANDWICK,2400,Our Paddy Boy,Colin Hayes,Mick Mallyon,AUSTRALIA,,,,,,,,,
1981,AUSTRALIAN OAKS,RANDWICK,2400,November Rain,Neville Begg,Ron Quinton,AUSTRALIA,,,,,,,,,
1981,AVONDALE CUP,ELLERSLIE,2200,Alice,Jeanann Hercock,Jim Cassidy,NEW ZEALAND,,,,,,,,,
1981,BELDAME STAKES,BELMONT PARK,1800,Love Sign,Sidney Watters Jnr,Bill Shoemaker,USA,,,,,,,,,
1981,BELMONT STAKES,BELMONT PARK,2400,Summing,Luis Barrera,George Martins,USA,,,,,,,,,
1981,BLUE DIAMOND STAKES,CAULFIELD,1200,Black Shoes,Albert McKenna,Graham Robson,AUSTRALIA,,,,,,,,,
1981,BLUE GRASS STAKES,KEENELAND,1800,Proud Appeal,Stanley Hough,Jeff Fell,USA,,,,,,,,,
1981,BRISBANE CUP,EAGLE FARM,3200,Four Crowns,David Enright,Jim Cassidy,AUSTRALIA,,,,,,,,,
1981,BROOKLYN HANDICAP,BELMONT PARK,2400,Hechizado,Allen Jerkens,Ruben Hernandez,USA,,,,,,,,,
1981,CALIFORNIAN STAKES,SANTA ANITA,1800,Eleven Stitches,Gary Jones,Sandy Hawley,USA,,,,,,,,,
1981,CANADIAN INTERNATIONAL STAKES,WOODBINE,2600,Open Call,John Gaver Jnr,Jorge Velasquez,USA,,,,,,,,,
1981,CANTERBURY GUINEAS,CANTERBURY,1850,Ring The Bell,Neville Atkins,Nigel Tiley,AUSTRALIA,,,,,,,,,
1981,CAULFIELD CUP,CAULFIELD,2400,Silver Bounty,Gary Carson,Midge Didham,AUSTRALIA,,,,,,,,,
1981,CAULFIELD GUINEAS,CAULFIELD,1600,Binbinga,Roy Quan,Peter Cook,AUSTRALIA,,,,,,,,,
1981,CAULFIELD STAKES,CAULFIELD,2000,Kingston Town,Tommy Smith,Malcolm Johnston,AUSTRALIA,,,,,,,,,
1981,CENTURY HANDICAP,,,Spence Bay,Randy Winick,Fernando Toro,,,,,,,,,,
1981,CHAMPAGNE STAKES,RANDWICK,1600,Rose Of Kingston,Bob Hoysted,Wayne Harris,AUSTRALIA,,,,,,,,,
1981,CHAMPAGNE STAKES (USA),,,Timely Writer,Dominic Imprescia Jnr,Jeffrey Fell,,,,,,,,,,
1981,CHAMPION JUVENILE STAKES,,,Wolf Power,Ricky Maingard,Jeff Lloyd,,,,,,,,,,
1981,CHAMPION STAKES,ASCOT (UK),2000,Vayrann,Francois Mathet,Yves Saint-Martin,ENGLAND,,,,,,,,,
1981,CHARLES WHITTINGHAM STAKES,,,John Henry,Ron McAnally,Laffit Pincay Jnr,,,,,,,,,,
1981,CHEVELEY PARK STAKES,NEWMARKET,1200,Woodstream,Vincent O'Brien,Pat Eddery,ENGLAND,,,,,,,,,
1981,COACHING CLUB AMERICAN OAKS,,,Wayward Lass,Jose Martin,Cash Asmussen,,,,,,,,,,
1981,CORAL ECLIPSE STAKES,SANDOWN (UK),2000,Master Willie,Henry Candy,Philip Waldron,ENGLAND,,,,,,,,,
1981,CORONATION CUP,EPSOM,2420,Master Willie,Henry Candy,Philip Waldron,ENGLAND,,,,,,,,,
1981,COX PLATE,MOONEE VALLEY,2040,Kingston Town,Tommy Smith,Ron Quinton,AUSTRALIA,,,,,,,,,
1981,DELAWARE HANDICAP,,,Relaxing,Angel Penna Snr,Angel Cordero Jnr,,,,,,,,,,
1981,DEMOISELLE STAKES,,,Snow Plow,Leon Blusiewicz,Angel Cordero Jnr,,,,,,,,,,
1981,DERBY ITALIANO,,,Glint Of Gold,Ian Balding,John Matthias,,,,,,,,,,
1981,DEUTSCHES DERBY,HAMBURG,2400,Orofino,Sven von Mitzlaff,Peter Alafi,GERMANY,,,,,,,,,
1981,DEUTSCHLAND PREIS,,,Lydian,Criquette Head,Freddy Head,,,,,,,,,,
1981,DEWHURST STAKES,NEWMARKET,1600,Wind And Wuthering,Henry Candy,Philip Waldron,ENGLAND,,,,,,,,,
1981,DONCASTER HANDICAP,RANDWICK,1600,Lawman,George Hanlon,John Duggan,AUSTRALIA,,,,,,,,,
1981,"DOOMBEN 10,000",DOOMBEN,1350,Sovereign Red,Geoff Murphy,Mick Dittman,AUSTRALIA,,,,,,,,,
1981,DOOMBEN CUP,DOOMBEN,2200,Pelican Point,Bill Wehlow,Gavan Duffy,AUSTRALIA,,,,,,,,,
1981,DURBAN JULY,,,Big Charles,Louis Naude,Jimmy Anderson,,,,,,,,,,
1981,ELLERSLIE SIRES PRODUCE STAKES,,,Loughanure,Bill Sanders,Noel Harris,,,,,,,,,,
1981,EPSOM DERBY,EPSOM,2420,Sherar,Sir Michael Stoute,Walter Swinburn,ENGLAND,,,,,,,,,
1981,EPSOM HANDICAP,RANDWICK,1600,Gold Circle,Ken Morrow,Wayne Harris,AUSTRALIA,,,,,,,,,
1981,EPSOM OAKS,EPSOM,2420,Blue Wind,Dermot Weld,Lester Piggott,ENGLAND,,,,,,,,,
1981,FANTASY STAKES,OAKLAWN PARK,1700,Heavenly Cause,Woody Stephens,Laffit Pincay Jnr,USA,,,,,,,,,
1981,FLAMINGO STAKES,,,Tap Shoes,Horatio Luro,Ruben Hernandez,,,,,,,,,,
1981,FLORIDA DERBY,,,Lord Avie,Daniel Perlsweig,Chris McCarron,,,,,,,,,,
1981,FRIZETTE STAKES,,,Proud Lou,James Mort Hardy,Daniel Beckon,,,,,,,,,,
1981,FUTURITY STAKES,CAULFIELD,1400,Manikato,Bob Hoysted,Gary Willetts,AUSTRALIA,,,,,,,,,
1981,FUTURITY STAKES (USA),,,Irish Martini,Richard Destasio,Jorge Velasquez,,,,,,,,,,
1981,GEORGE ADAMS HANDICAP,FLEMINGTON,1600,Tower Belle,Ken Williams`,Malcolm Pay,AUSTRALIA,,,,,,,,,
1981,GEORGE MAIN STAKES,RANDWICK,1600,Kingston Town,Tommy Smith,Malcolm Johnston,AUSTRALIA,,,,,,,,,
1981,GEORGE RYDER STAKES,ROSEHILL,1400,Prince Ruling,Jim Atkins,Harry White,AUSTRALIA,,,,,,,,,
1981,GOLDEN SLIPPER,ROSEHILL,1200,Full On Aces,Angus Armanasco,Mick Dittman,AUSTRALIA,,,,,,,,,
1981,GOODWOOD HANDICAP,MORPHETTVILLE,1200,Young Man,Ron Morgan,Des Coleman,AUSTRALIA,,,,,,,,,
1981,GRAN CRITERIUM,,,Grease,Gaetano Benetti,Antonio di Nardo,,,,,,,,,,
1981,GRAN PREMIO DEL JOCKEY CLUB,,,Konigsstuhl,Sven von Mitzlaff,Peter Alafi,,,,,,,,,,
1981,GRAND PRIX DE PARIS,,,Glint Of Gold,Ian Balding,John Matthias,,,,,,,,,,
1981,GRAND PRIX DE SAINT-CLOUD,,,Akarad,Francois Mathet,Yves Saint-Martin,,,,,,,,,,
1981,GROSSER PREIS VON BADEN,BADEN BADEN,2400,Pelerin,Harry Wragg,Greville Starkey,GERMANY,,,,,,,,,
1981,GULFSTREAM PARK HANDICAP,,,Hurry Up Blue,Reynaldo Nobles,Carlos Lopez Snr,,,,,,,,,,
1981,HASKELL INVITATIONAL HANDICAP,MONMOUTH PARK,1800,Five Star Flight,Ben Perkins Snr,Craig Perret,USA,,,,,,,,,
1981,HOLLYWOOD DERBY,HOLLYWOOD PARK,1800,Silveyville,Emmett Campbell,Danny Winick,USA,,,,,,,,,
1981,HOLLYWOOD DERBY,HOLLYWOOD PARK,1800,De La Rose,Woody Stephens,Eddie Maple,USA,,,,,,,,,
1981,HOLLYWOOD GOLD CUP,,,Eleven Stitches,Donn Luby,Sandy Hawley,,,,,,,,,,
1981,HOLLYWOOD OAKS,,,Past Forgetting,Gordon Campbell,Chris McCarron,,,,,,,,,,
1981,HOPEFUL STAKES (USA),SARATOGA,1400,Timely Writer,Dominic Imprescia Jnr,Roger Danjean,USA,,,,,,,,,
1981,INTERNATIONAL STAKES (NZ),,,Speculation,Maurice Campbell,Maurice Campbell,,,,,,,,,,
1981,INTERNATIONAL STAKES (UK),,,Beldale Flutter,Michael Jarvis,Pat Eddery,,,,,,,,,,
1981,"IRISH 1,000 GUINEAS",CURRAGH,1600,Arctique Royale,Kevin Prendergast,Gabriel Curran,IRELAND,,,,,,,,,
1981,"IRISH 2,000 GUINEAS",CURRAGH,1600,Kings Lake,Vincent O'Brien,Pat Eddery,IRELAND,,,,,,,,,
1981,IRISH CHAMPION STAKES,LEOPARDSTOWN,2000,Kings Lake,Vincent O'Brien,Pat Eddery,IRELAND,,,,,,,,,
1981,IRISH DERBY,CURRAGH,2400,Shergar,Sir Michael Stoute,Lester Piggott,IRELAND,,,,,,,,,
1981,IRISH OAKS,CURRAGH,2400,Blue Wind,Dermot Weld,Walter Swinburn,IRELAND,,,,,,,,,
1981,IRISH ST LEGER,CURRAGH,2800,Protection Racket,Jeremy Hindley,Brian Taylor,IRELAND,,,,,,,,,
1981,J&B MET,KENILWORTH,2000,Queen's Elect,,,SOUTH AFRICA,,,,,,,,,
1981,JAPAN CUP,TOKYO,2400,Mairzy Doates,John Fulton,Cash Ashmussen,JAPAN,,,,,,,,,
1981,JOCKEY CLUB GOLD CUP,,,John Henry,Victor Nickerson,Bill Shoemaker,,,,,,,,,,
1981,JOE HIRSCH CLASSIC INVITATIONAL STAKES,BELMONT PARK,2400,April Run,Francois Boutin,Philippe Paquet,USA,,,,,,,,,
1981,JOHN C MABEE HANDICAP,,,Queen To Conquer,Charles Whittingham,Marco Castaneda,,,,,,,,,,
1981,JULY CUP,,,Marwell,Sir Michael Stoute,Walter Swinburn,,,,,,,,,,
1981,KENTUCKY DERBY,CHURCHILL DOWNS,2000,Pleasant Colony,John Campo,Jorge Velasquez,USA,,,,,,,,,
1981,KENTUCKY OAKS,CHURCHILL DOWNS,2000,Heavenly Cause,Woody Stephens,Laffit Pincay Jnr,USA,,,,,,,,,
1981,KING GEORGE VI & QUEEN ELIZABETH STAKES,ASCOT (UK),2400,Shergar,Sir Michael Stoute,Walter Swinburn,ENGLAND,,,,,,,,,
1981,KING'S STAND STAKES,ASCOT (UK),1000,Marwell,Sir Michael Stoute,Walter Swinburn,ENGLAND,,,,,,,,,
1981,LA CANADA STAKES,,,Summer Siren,Louis Carno,Marco Castaneda,,,,,,,,,,
1981,LADIES HANDICAP,,,Jameela,Hyman Ravich,Angel Cordero Jnr,,,,,,,,,,
1981,LAUREL FUTURITY,,,Deputy Minister,John Tammaro Jnr,Donald MacBeth,,,,,,,,,,
1981,LEVIN CLASSIC,TRENTHAM,1600,Alitude,Bill Ford,Stephen Autridge,NEW ZEALAND,,,,,,,,,
1981,LION BROWN SPRINT,TE RAPA,1400,Mun Lee,Malcolm Smith,Greg Childs,NEW ZEALAND,,,,,,,,,
1981,MACKINNON STAKES,FLEMINGTON,2000,Belmura Lad,Bart Cummings,MIdge Didham,AUSTRALIA,,,,,,,,,
1981,MAN O' WAR STAKES,,,Galaxy Libra,Charles Whittingham,Bill Shoemaker,,,,,,,,,,
1981,MANAWATU SIRES PRODUCE,AWAPUNI,1400,Scotch Reel,Colin Stuart,Bruce Compton,NEW ZEALAND,,,,,,,,,
1981,MARLBORO CUP,CAULFIELD,1400,Soldier Of Fortune,Colin Hayes,Brent Thomson,AUSTRALIA,,,,,,,,,
1981,MARLBORO CUP (USA),,,Noble Nashua,Jose Martin,Ruben Hernandez,,,,,,,,,,
1981,MASKETTE STAKES,,,Jameela,Hyman Ravich,Jacinto Vasquez,,,,,,,,,,
1981,MATRON STAKES (USA),,,Before Dawn,John Veitch,Jorge Velasquez,,,,,,,,,,
1981,MELBOURNE CUP,FLEMINGTON,3200,Just A Dash,Tommy Smith,Peter Cook,AUSTRALIA,,,,,,,,,
1981,METROPOLITAN HANDICAP,,,Fappiano,Jan Nerud,Angel Cordero Jnr,,,,,,,,,,
1981,MIDDLE PARK STAKES,NEWMARKET,1200,Cajun,Sir Henry Cecil,Lester Piggott,ENGLAND,,,,,,,,,
1981,MONMOUTH HANDICAP,,,Amber Pass,Sonny Hine,Cash Asmussen,,,,,,,,,,
1981,MOTHER GOOSE STAKES,,,Wayward Lass,Jose Martin,Cash Asmussen,,,,,,,,,,
1981,NEWMARKET HANDICAP,FLEMINGTON,1200,Elounda Bay,Bart Cummings,Mick Dittman,AUSTRALIA,,,,,,,,,
1981,NORFOLK STAKES,SANTA ANITA,1800,Stalwart,D Wayne Lukas,Chris McCarron,USA,,,,,,,,,
1981,NUNTHORPE STAKES,,,Sharpo,Jeremy Tree,Pat Eddery,,,,,,,,,,
1981,NZ 1000 GUINEAS,RICCARTON,1600,Noble Heights,Laurie Laxon,Garry Phillips,NEW ZEALAND,,,,,,,,,
1981,NZ 2000 GUINEAS,RICCARTON,1600,Altitude,Bill Ford,Stephen Autridge,NEW ZEALAND,,,,,,,,,
1981,NZ DERBY,ELLERSLIE,2400,Isle Of Man,Davina Waddell,Robert Vance,NEW ZEALAND,,,,,,,,,
