YEAR,RACE,TRACK,DISTANCE,WINNER,TRAINER,JOCKEY,COUNTRY,,,,,,,,,
1816,UK 1000 GUINEAS,NEWMARKET,1600,Rhoda,Dixon Boyce,Sam Barnard,ENGLAND,,,,,,,,,
1816,UK 2000 GUINEAS,NEWMARKET,1600,Nectar,Dixon Boyce,Bill Arnull,ENGLAND,,,,,,,,,
1817,EPSOM DERBY,EPSOM,2420,Azor,Robert Robson,Jem Robinson,ENGLAND,,,,,,,,,
1817,EPSOM OAKS,EPSOM,2420,Neva,Dixon Boyce,Frank Buckle,ENGLAND,,,,,,,,,
1817,ST LEGER,DONCASTER,2921,Ebor,John Lonsdale,Bob Johnson,ENGLAND,,,,,,,,,
1817,UK 1000 GUINEAS,NEWMARKET,1600,Neva,Dixon Boyce,Bill Arnull,ENGLAND,,,,,,,,,
1817,UK 2000 GUINEAS,NEWMARKET,1600,Manfred,Robert Stephenson,Will Wheatley,ENGLAND,,,,,,,,,
1818,EPSOM DERBY,EPSOM,2420,Sam,William Chifney,Sam Chifney Jnr,ENGLAND,,,,,,,,,
1818,EPSOM OAKS,EPSOM,2420,Corinne,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1818,ST LEGER,DONCASTER,2921,Reveller,John Lonsdale,Bob Johnson,ENGLAND,,,,,,,,,
1818,UK 1000 GUINEAS,NEWMARKET,1600,Corinne,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1818,UK 2000 GUINEAS,NEWMARKET,1600,Interpreter,Richard Prince,Bill Clift,ENGLAND,,,,,,,,,
1819,EPSOM DERBY,EPSOM,2420,Tiresias,Richard Prince,Bill Clift,ENGLAND,,,,,,,,,
1819,EPSOM OAKS,EPSOM,2420,Shoveler,William Chifney,Sam Chifney Jnr,ENGLAND,,,,,,,,,
1819,ST LEGER,DONCASTER,2921,Antonio,John Lonsdale,Tom Nicholson,ENGLAND,,,,,,,,,
1819,UK 1000 GUINEAS,NEWMARKET,1600,Catgut,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
