Player,Team
Kieren Briggs,Greater Western Sydney
Lachie Ash,Greater Western Sydney
Lachie Whitfield,Greater Western Sydney
Leek Aleer,Greater Western Sydney
Logan Smith,Greater Western Sydney
Max Gruzewski,Greater Western Sydney
Nathan Wardius,Greater Western Sydney
Nicholas Madden,Greater Western Sydney
Oliver Hannaford,Greater Western Sydney
Oskar Taylor,Greater Western Sydney
Phoenix Gothard,Greater Western Sydney
Riley Hamilton,Greater Western Sydney
Ryan Angwin,Greater Western Sydney
Sam Taylor,Greater Western Sydney
Stephen Coniglio,Greater Western Sydney
Toby Bedford,Greater Western Sydney
Toby Greene,Greater Western Sydney
Toby McMullin,Greater Western Sydney
Tom Green,Greater Western Sydney
Xavier O'Halloran,Greater Western Sydney
Aidan Schubert,Hawthorn
Bailey Macdonald,Hawthorn
Blake Hardwick,Hawthorn
Bodie Ryan,Hawthorn
Calsher Dear,Hawthorn
Cam Mackenzie,Hawthorn
Cameron Nairn,Hawthorn
Cody Anderson,Hawthorn
Connor Macdonald,Hawthorn
Conor Nash,Hawthorn
Dylan Moore,Hawthorn
Finn Maginness,Hawthorn
Flynn Perez, Hawthorn
Harry Morrison,Hawthorn
Henry Hustwaite,Hawthorn
Jack Dalton,Hawthorn
Jack Ginnivan,Hawthorn
Jack Gunston,Hawthorn
Jack Scrimshaw,Hawthorn
Jai Newcombe,Hawthorn
Jaime Uhr-Henry,Hawthorn
James Blanck,Hawthorn
James Sicily,Hawthorn
Jarman Impey,Hawthorn
Josh Battle,Hawthorn
Josh Ward,Hawthorn
Josh Weddle,Hawthorn
Karl Amon,Hawthorn
Lloyd Meek,Hawthorn
Mabior Chol,Hawthorn
Massimo D'Ambrosio,Hawthorn
Matt Hill,Hawthorn
Matthew LeRay,Hawthorn
Max Ramsden,Hawthorn
Mitch Lewis,Hawthorn
Ned Reeves,Hawthorn
Nick Watson,Hawthorn
Noah Mraz,Hawthorn
Oliver Greeves,Hawthorn
Sam Butler,Hawthorn
Tom Barrass,Hawthorn
Will Day,Hawthorn
William McCabe,Hawthorn
Aidan Johnson,Melbourne
Andy Moniz-Wakefield,Melbourne
Bailey Laurie,Melbourne
Bayley Fritsch,Melbourne
Blake Howes,Melbourne
Brody Mihocek,Melbourne
Caleb Windsor,Melbourne
Changkuoth Jiath,Melbourne
Christian Salem,Melbourne
Daniel Turner,Melbourne
Ed Langdon,Melbourne
Harrison Petty,Melbourne
Harry Sharp,Melbourne
Harvey Langford,Melbourne
Jack Henderson,Melbourne
Jack Steele,Melbourne
Jack Viney,Melbourne
Jacob van Rooyen,Melbourne
Jai Culley,Melbourne
Jake Bowey,Melbourne
Jake Lever,Melbourne
Jake Melksham,Melbourne
Jed Adams,Melbourne
Kade Chandler,Melbourne
Kalani White,Melbourne
Koltyn Tholstrup,Melbourne
Kysaiah Pickett,Melbourne
Latrelle Pickett,Melbourne
Luker Kentfield,Melbourne
Matthew Jefferson,Melbourne
Max Gawn,Melbourne
Max Heath,Melbourne
Oscar Berry,Melbourne
Paddy Cross,Melbourne
Ricky Mentha,Melbourne
Riley Onley,Melbourne
Shane McAdam,Melbourne
Steven May,Melbourne
Thomas Matthews,Melbourne
Tom Campbell,Melbourne
Tom McDonald,Melbourne
Tom Sparrow,Melbourne
Trent Rivers,Melbourne
Xavier Lindsay,Melbourne
