Year,Round,Player,Team
2010,16,Phil Davis,Adelaide
2010,15,Jack Redden,Brisbane Lions
2010,14,Ben Stratton,Hawthorn
2010,13,Tom Rockliff,Brisbane Lions
2010,12,Ben Reid,Collingwood
2010,11,Jordan Gysberts,Melbourne
2010,10,Dustin Martin,Richmond
2010,9,Nat Fyfe,Fremantle
2010,8,Jake Melksham,Essendon
2010,7,Tom Scully,Melbourne
2010,6,Todd Banfield,Brisbane Lions
2010,5,Jack Trengove,Melbourne
2010,4,Nic Naitanui,West Coast
2010,3,Ryan Bastinac,North Melbourne
2010,2,Dan Hannebery,Sydney
2010,1,Chris Yarran,Carlton
2009,22,Jesse White,Sydney
2009,21,Nick Suban,Fremantle
2009,20,Michael Hurley,Essendon
2009,19,Mitch Brown,West Coast
2009,18,Callan Ward,Western Bulldogs
2009,17,Dayne Beams,Collingwood
2009,16,Chris Masten,West Coast
2009,15,Liam Jurrah,Melbourne
2009,14,Jack Grimes,Melbourne
2009,13,Tayte Pears,Essendon
2009,12,Aaron Joseph,Carlton
2009,11,Brad Dick,Collingwood
2009,10,Taylor Walker,Adelaide
2009,9,Andy Otten,Adelaide
2009,8,Jarryn Geary,St Kilda
2009,7,Jack Ziebell,North Melbourne
2009,6,Stephen Hill,Fremantle
2009,5,Garry Moss,Hawthorn
2009,4,Jaxson Barham,Collingwood
2009,3,Patrick Dangerfield,Adelaide
2009,2,David Zaharakis,Essendon
2009,1,Daniel Rich,Brisbane Lions
2008,22,Alipate Carlile,Port Adelaide
2008,21,Bradd Dalziell,Brisbane Lions
2008,20,Cale Morton,Melbourne
2008,19,Shaun Grigg,Carlton
2008,18,Gavin Urquhart,North Melbourne
2008,17,Brad Ebert,West Coast
2008,16,Kyle Reimers,Essendon
2008,15,Jack Riewoldt,Richmond
2008,14,Colin Garland,Melbourne
2008,13,Jarryd Morton,Hawthorn
2008,12,Trent Cotchin,Richmond
2008,11,Matthew Kreuzer,Carlton
2008,10,Nathan Brown,Collingwood
2008,9,Garrick Ibbotson,Fremantle
2008,8,Kurt Tippett,Adelaide
2008,7,Austin Wonaeamirri,Melbourne
2008,6,Cyril Rioli,Hawthorn
2008,5,Ben McKinley,West Coast
2008,4,Kieren Jack,Sydney
2008,3,Rhys Palmer,Fremantle
2008,2,Josh Hill,Western Bulldogs
2008,1,Bachar Houli,Essendon
2007,22,Will Thursfield,Richmond
2007,21,Tyson Goldsack,Collingwood
2007,20,Mark LeCras,West Coast
2007,19,Travis Boak,Port Adelaide
2007,18,Tom Williams,Western Bulldogs
2007,17,Nathan Jones,Melbourne
2007,16,Sam Gilbert,St Kilda
2007,15,Justin Westhoff,Port Adelaide
2007,14,Scott McMahon,North Melbourne
2007,13,Martin Clarke,Collingwood
2007,12,Robbie Gray,Port Adelaide
2007,11,Shannon Hurn,West Coast
2007,10,Bryce Gibbs,Carlton
2007,9,Mitch Clark,Brisbane Lions
2007,8,Shaun Higgins,Western Bulldogs
2007,7,Jesse Smith,North Melbourne
2007,6,Ricky Petterd,Melbourne
2007,5,Joel Selwood,Geelong
2007,4,Scott Pendlebury,Collingwood
2007,3,Tom Hawkins,Geelong
2007,2,Cameron Wood,Brisbane Lions
2007,1,Patrick Ryder,Essendon
2006,22,Mark LeCras,West Coast
2006,21,Brad Moran,North Melbourne
2006,20,Nathan Jones,Melbourne
2006,19,Nathan Foley,Richmond
2006,18,Matthew Bate,Melbourne
2006,17,Andrew Swallow,North Melbourne
2006,16,Troy Chaplin,Port Adelaide
2006,15,Matthew Moody,Brisbane Lions
2006,14,Grant Birchall,Hawthorn
2006,13,Cheynee Stiller,Brisbane Lions
2006,12,Clinton Young,Hawthorn
2006,11,Jacob Surjan,Port Adelaide
2006,10,Matt Rosa,West Coast
2006,9,Brad Symes,Port Adelaide
2006,8,Michael Rischitelli,Brisbane Lions
2006,7,Clint Bartram,Melbourne
2006,6,Dean Polo,Richmond
2006,5,Heath Shaw,Collingwood
2006,4,Andrew Raines,Richmond
2006,3,Danyle Pearce,Port Adelaide
2006,2,Dale Thomas,Collingwood
2006,1,Marc Murphy,Carlton
2005,22,Raphael Clarke,St Kilda
2005,21,Nathan Ablett,Geelong
2005,20,Adam Bentick,Carlton
2005,19,Jarryd Roughead,Hawthorn
2005,18,Kade Simpson,Carlton
2005,17,Anthony Corrie,Brisbane Lions
2005,16,Adam Selwood,West Coast
2005,15,Troy Selwood,Brisbane Lions
2005,14,David Mundy,Fremantle
2005,13,Ryan Griffen,Western Bulldogs
2005,12,Jed Adcock,Brisbane Lions
2005,11,Jordan Lewis,Hawthorn
2005,10,Travis Cloke,Collingwood
2005,9,Colin Sylvia,Melbourne
2005,8,Brett Deledio,Richmond
2005,7,Will Minson,Western Bulldogs
2005,6,Justin Sherman,Brisbane Lions
2005,5,Jason Laycock,Essendon
2005,4,Lance Franklin,Hawthorn
2005,3,Brock McLean,Melbourne
2005,2,Shannon Byrnes,Geelong
2005,1,Kepler Bradley,Essendon
2004,22,Brent Hartigan,Richmond
2004,21,Adam Cooney,Western Bulldogs
2004,20,Brent Stanton,Essendon
2004,19,Daniel Cross,Western Bulldogs
2004,18,Beau Waters,West Coast
2004,17,Sam Butler,West Coast
2004,16,Brent Reilly,Adelaide
2004,15,Mark Seaby,West Coast
2004,14,Jay Schulz,Richmond
2004,13,Karl Norman,Carlton
2004,12,Richard Hadley,Brisbane Lions
2004,11,Brett Ebert,Port Adelaide
2004,10,Brent Moloney,Geelong
2004,9,Guy Richards,Collingwood
2004,8,Andrew Mackie,Geelong
2004,7,Brent Staker,West Coast
2004,6,Kane Tenace,Geelong
2004,5,Andrew Walker,Carlton
2004,4,Paul Bevan,Sydney
2004,3,Jared Rivers,Melbourne
2004,2,Michael Firrito,North Melbourne
2004,1,Aaron Davey,Melbourne
2003,22,Matthew Lokan,Collingwood
2003,22,Ashley McGrath,Brisbane Lions
2003,21,Andrew McDougall,West Coast
2003,20,Leigh Montagna,St Kilda
2003,19,Marc Bullen,Essendon
2003,18,Lewis Roberts-Thomson,Sydney
2003,17,Richard Cole,Collingwood
2003,16,Daniel Motlop,North Melbourne
2003,15,Ted Richards,Essendon
2003,14,Aaron Sandilands,Fremantle
2003,13,Byron Schammer,Fremantle
2003,12,Brad Fisher,Carlton
2003,11,Daniel Wells,North Melbourne
2003,10,Jarrad Waite,Carlton
2003,9,Graham Polak,Fremantle
2003,8,Ashley Sampi,West Coast
2003,7,Brendon Goddard,St Kilda
2003,6,Michael Osborne,Hawthorn
2003,5,Adam Schneider,Sydney
2003,4,Jared Brennan,Brisbane Lions
2003,3,Trent Sporn,Carlton
2003,2,Luke Ball,St Kilda
2003,1,Sam Mitchell,Hawthorn
2002,22,Campbell Brown,Hawthorn
2002,21,Jamie Charman,Brisbane Lions
2002,20,Ty Zantuck,Richmond
2002,19,Tadhg Kennelly,Sydney
2002,18,Jordan McMahon,Western Bulldogs
2002,17,Nick Ries,Hawthorn
2002,16,Alan Didak,Collingwood
2002,15,Luke Hodge,Hawthorn
2002,14,Mark Coughlan,Richmond
2002,13,Shaun Burgoyne,Port Adelaide
2002,12,James Kelly,Geelong
2002,11,Ryan Hargrave,Western Bulldogs
2002,10,Mark McGough,Collingwood
2002,9,Shane Birss,Western Bulldogs
2002,8,David Rodan,Richmond
2002,7,Xavier Clarke,St Kilda
2002,6,Jason Cloke,Collingwood
2002,5,Nick Riewoldt,St Kilda
2002,4,Jimmy Bartel,Geelong
2002,3,Steven Armstrong,Melbourne
2002,2,Chris Judd,West Coast
2002,1,Paul Medhurst,Fremantle
2001,22,Steven Greene,Hawthorn
2001,21,Dion Woods,Fremantle
2001,20,Corey Enright,Geelong
2001,19,Robert Copeland,Brisbane Lions
2001,18,Aaron Fiora,Richmond
2001,17,Brent Guerra,Port Adelaide
2001,16,Robert Murphy,Western Bulldogs
2001,15,Daniel Giansiracusa,Western Bulldogs
2001,14,Justin Koschitzke,St Kilda
2001,13,Adam McPhee,Fremantle
2001,12,Cameron Ling,Geelong
2001,11,Mark McVeigh,Essendon
2001,10,Brett Johnson,Hawthorn
2001,9,Luke Penny,Western Bulldogs
2001,8,Danny Jacobs,Essendon
2001,7,James Begley,St Kilda
2001,6,Aaron Henneman,Essendon
2001,5,Caydn Beetham,St Kilda
2001,4,Ryan Lonie,Collingwood
2001,3,Daniel Kerr,West Coast
2001,2,Daniel Harris,North Melbourne
2001,1,Damian Cupido,Brisbane Lions
2000,22,Josh Carr,Port Adelaide
2000,21,Chad Fletcher,West Coast
2000,20,Ryan Houlihan,Carlton
2000,19,Brad Green,Melbourne
2000,18,Matthew Scarlett,Geelong
2000,17,Matthew Pavlich,Fremantle
2000,16,Brett Moyle,St Kilda
2000,15,Matthew Whelan,Melbourne
2000,14,Andrew Embley,West Coast
2000,13,Beau McDonald,Brisbane Lions
2000,12,Ian Perrie,Adelaide
2000,11,Glen Bowyer,Hawthorn
2000,10,Chad Cornes,Port Adelaide
2000,9,Jude Bolton,Sydney
2000,8,Cameron Bruce,Melbourne
2000,7,Adam Lange,North Melbourne
2000,6,Josh Fraser,Collingwood
2000,5,Adam Ramanauskas,Essendon
2000,4,Leigh Brown,Fremantle
2000,3,Damien Adkins,Collingwood
2000,2,David Spriggs,Geelong
2000,1,Paul Hasleby,Fremantle
1999,22,Lenny Hayes,St Kilda
1999,21,Tim Notting,Brisbane Lions
1999,20,Ben Mathews,Sydney
1999,19,Matthew Bode,Port Adelaide
1999,18,Paul Licuria,Collingwood
1999,17,Luke Power,Brisbane Lions
1999,16,Marc Dragicevic,Richmond
1999,15,Andrew Shipp,Fremantle
1999,14,Nathan Thompson,Hawthorn
1999,13,Mark Johnson,Essendon
1999,12,Andrew Williams,West Coast
1999,11,Dean Solomon,Essendon
1999,10,Brett Burton,Adelaide
1999,9,Simon Black,Brisbane Lions
1999,8,Rowan Jones,West Coast
1999,7,Dean Rioli,Essendon
1999,6,David Gallagher,Adelaide
1999,5,Nick Davis,Collingwood
1999,4,Troy Longmuir,Melbourne
1999,3,Brett Backwell,Carlton
1999,2,Adam Goodes,Sydney
1999,1,Shane O'Bree,Brisbane Lions
1998,22,Darren Milburn,Geelong
1998,21,Jason Johnson,Essendon
1998,20,Kris Massie,Carlton
1998,19,Andrew Eccles,Adelaide
1998,18,Trent Croad,Hawthorn
1998,17,Jared Crouch,Sydney
1998,16,Jade Rawlings,Hawthorn
1998,15,Justin Plapp,Richmond
1998,14,Russell Robertson,Melbourne
1998,13,Stuart Dew,Port Adelaide
1998,12,James Rahilly,Geelong
1998,11,Jason Saddington,Sydney
1998,10,Darren Hulme,Carlton
1998,9,Nick Stevens,Port Adelaide
1998,8,Travis Johnstone,Melbourne
1998,7,Warren Tredrea,Port Adelaide
1998,6,Evan Hewitt,North Melbourne
1998,5,Jonathan Hay,Hawthorn
1998,4,Jess Sinclair,Fremantle
1998,3,Byron Pickett,North Melbourne
1998,2,Luke Power,Brisbane Lions
1998,1,Michael Braun,West Coast
1997,22,Angelo Lekkas,Hawthorn
1997,21,Nathan Eagleton,Port Adelaide
1997,20,Robert Powell,Richmond
1997,19,Michael Gardiner,West Coast
1997,18,Mal Michael,Collingwood
1997,17,Brad Scott,Hawthorn
1997,16,Carl Steinfort,Geelong
1997,15,Peter Vardy,Adelaide
1997,14,Michael Braun,West Coast
1997,13,Blake Caracella,Essendon
1997,12,Kane Johnson,Adelaide
1997,11,Troy Cook,Sydney
1997,10,Shane Woewodin,Melbourne
1997,9,Stefan Carey,Sydney
1997,8,Daniel Bradshaw,Brisbane Lions
1997,7,Brendon Lade,Port Adelaide
1997,6,Adam Houlihan,Geelong
1997,5,Heath Black,Fremantle
1997,4,Michael Wilson,Port Adelaide
1997,3,Bowen Lockwood,Port Adelaide
1997,2,Joel Bowden,Richmond
1997,1,Lance Whitnall,Carlton
1996,22,Craig Callaghan,Fremantle
1996,21,Jeff Farmer,Melbourne
1996,20,Luke Toia,Fremantle
1996,19,Matthew Lloyd,Essendon
1996,18,Daniel McPherson,Sydney
1996,17,Peter Bell,North Melbourne
1996,16,Chad Morrison,West Coast
1996,15,Steven King,Geelong
